,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Greece,7554102,7632801,7743746,7836110,7893412,7965538,8031013,8096218,8173129,8258162,8331724,8398050,8448233,8479625,8510429,8550333,8613651,8684088,8740765,8772764,8792806,8831036,8888628,8929086,8962021,9046540,9188150,9308479,9429959,9548258,9642505,9729350,9789513,9846627,9895801,9934300,9967213,10000590,10036980,10089500,10156900,10256290,10369870,10465530,10553040,10634390,10709170,10776500,10834880,10882580,10917480,10950000,10983000,11016000,11057000,11093000,11131000,11163000,11186000,11185000,11153000,11124000,11090000,..,..
Hungary,9337770,9422958,9504043,9595144,9705833,9824908,9855888,9839364,9881594,9937033,9983512,10027960,10060830,10087950,10119830,10147940,10178650,10216600,10255810,10298720,10337910,10367540,10398490,10432060,10478720,10540530,10598680,10648030,10684820,10704150,10711120,10711850,10705530,10689460,10668100,10648710,10630560,10612740,10596490,10481720,10373990,10373400,10369340,10357520,10343360,10328960,10311240,10290490,10266570,10237530,10210970,10187580,10158610,10129550,10107150,10087070,10071370,10055780,10038190,10022650,10000020,9958823,9920361,9886774,..
Iceland,142668,145417,148080,151199,154563,158044,161358,165110,168771,172314,175860,178906,182053,185481,188848,192288,195610,198675,201245,202921,204105,206092,209275,212364,215324,218031,220133,221823,223587,225749,228161,230803,233997,237041,239498,241403,243209,245962,249885,252746,254788,257965,261103,263783,266006,267380,268927,270915,273794,277184,281154,285054,287559,289272,292587,295864,304334,311396,319355,319246,318006,319013.5,..,..,..
Ireland,2969000,2960600,2952900,2949000,2941200,2920900,2898500,2885300,2852700,2845600,2832100,2818300,2830100,2850000,2863800,2875800,2884000,2899700,2912200,2925200,2949900,2978200,3024400,3073000,3123900,3177200,3227800,3271900,3314000,3368200,3401000,3443400,3480000,3504000,3529000,3540000,3540600,3546500,3530700,3509500,3505800,3525700,3554500,3574100,3585900,3601300,3626100,3664300,3703100,3741600,3789500,3847200,3917200,3979900,4045200,4133800,4232900,4375800,4485100,4533400,4554800,4574900,4585400,4593100,4609600
Israel,1103000,1324000,1429800,1467700,1500600,1555300,1626300,1721200,1782700,1836200,2150400,2234200,2331800,2430100,2525600,2598400,2657400,2708000,2806700,2879100,2958200,3045600,3225000,3277900,3377200,3455300,3533100,3613000,3692600,3786400,3877700,3949800,4020700,4106100,4159100,4233000,4298800,4368900,4441700,4518200,4660200,4949100,5123500,5261400,5399300,5544900,5685100,5828900,5970700,6125300,6289200,6439000,6570000,6689700,6809000,6930100,7053700,7180100,7308800,7485600,7623600,7765800,7910500,8059456,..
Italy,47104000,47407200,47716310,48025470,48331240,48632600,48931110,49230750,49476400,49832800,50199700,50536350,50879450,51252000,51675350,52112350,52519000,52900500,53235750,53537950,53821850,54073490,54381340,54751400,55110870,55441000,55718260,55955410,56155140,56317750,56433880,56501670,56543550,56564070,56576720,56593070,56596160,56601930,56629290,56671780,56719240,56758520,56797090,56831820,56843400,56844300,56860280,56890370,56906740,56916320,56942110,56977220,57157410,57604660,58175310,58607040,58941500,59375290,59832180,60192700,60483380,60626440,60916200,61178360,..
Japan,83200000,84573000,85852000,87033000,88293000,89276000,90259000,91088000,92010000,92973000,93419000,94285000,95178000,96156000,97186000,98275000,99054000,100243000,101408000,102648000,103720000,105014000,107332000,108710000,110049000,111940000,113089000,114154000,115174000,116133000,117060000,117884000,118693000,119483000,120235000,121049000,121672000,122264000,122783000,123255000,123611000,124043000,124452000,124764000,125034000,125570000,125864000,126166000,126486000,126686000,126926000,127291000,127435000,127619000,127687000,127768000,127770000,127771000,127692000,127510000,128057000,127799000,127515000,127298000,..
Korea,..,..,..,..,..,..,..,..,..,..,25012370,25765670,26513030,27261750,27984160,28704670,29435570,30130980,30838300,31544270,32240830,32882700,33505410,34103150,34692260,35280720,35848520,36411800,36969180,37534240,38123780,38723250,39326350,39910400,40405960,40805740,41213670,41621690,42031250,42449040,42869280,43295700,43747960,44194630,44641540,45092990,45524680,45953580,46286500,46616680,47008110,47357360,47622180,47859310,48039420,48138080,48371940,48597650,48948700,49182040,49410370,49779440,50004440,50219670,50423960
Luxembourg,296001,297204,299055,301135,303172,305000,306597,308070,309610,311508,313969,316844,320750,324100,327750,331500,333895,334995,335850,337500,339170,342420,346600,350450,355050,358950,360731,361357,362007,362855,364150,365225,365525,365622,365998,366706,368355,370750,373450,377100,381850,387000,392175,397475,402925,408625,414225,419450,424700,430475,436300,441525,446175,451630,458095,465158,472636,479993,488649,497783,506953,518346,530946,..,..
Mexico,27136770,27859730,28627670,29441420,30302310,31216720,32180440,33193000,34255350,35368620,36531060,37743220,39006140,40317530,41674530,43075180,44517860,46000060,47518100,49066740,50627950,52206370,53810380,55432400,57070230,58717410,60368700,62017460,63030180,64980420,66737490,68446660,70170690,71925800,73745920,75687780,77987790,80769330,83354620,85497240,87064850,88630940,90132580,91600660,93055300,94490340,95876660,97204610,98485420,99706060,100895800,102122300,103417900,104719900,105951600,107151000,108408800,109787400,111299000,112852600,114255600,115682900,117053800,118395100,..
