State,Location,System,Not_Reported,<60,60-94,95-119,120-144,145-170,171-194,195-220,>220,,,,State,Not_Reported,<60,60-94,95-119,120-144,145-170,171-194,195-220,>220,,Total,Not_Reported,Good_below95,Fair_95to170,Poor_above170,NotReported_Percent,Good_Percentage,Fair_Percentage,Poor
Maryland,Rural,Interstate,0,66.238,56.658,11.481,4.651,1.483,0.456,0.454,0.715,,,,Maryland,26.80334,792.14791,1079.5104,355.469,189.43728,131.31141,82.13785,72.04138,191.19319,,2920.05176,26.80334,1871.65831,544.90628,345.37242,0.917906332,64.09675115,18.66084319,11.82761295
Massachusetts,Rural,Interstate,0,34.158,21.626,4.23,2.2,0.9,0.267,0.5,0.4,,,,Massachusetts,30.89643,621.91726,662.11512,396.75338,347.86877,333.15403,224.11877,186.0731,489.75995,,3292.65681,30.89643,1284.03238,744.62215,899.95182,0.938343465,38.99684826,22.61462986,27.33208688
Michigan,Rural,Interstate,4.227,181.693,237.572,66.586,33.89,19.554,9.399,5.956,3.453,,,,Michigan,62.13961,2793.61431,4386.71914,1562.54135,842.85007,570.31385,350.67923,263.44894,490.00271,,11322.30921,62.13961,7180.33345,2405.39142,1104.13088,0.548824527,63.41757072,21.24470702,9.75181705
Minnesota,Rural,Interstate,0.015,192.044,294.869,50.093,29.134,10.913,4.797,3.313,2.904,,,,Minnesota,18.53516,3568.37898,3642.91618,1811.87165,1129.73052,626.38044,424.03264,246.00511,224.62039,,11692.47107,18.53516,7211.29516,2941.60217,894.65814,0.15852218,61.67468892,25.15808808,7.651574544
Mississippi,Rural,Interstate,0,386.796,115.478,30.706,21.576,13.443,6.018,2.31,2.11,,,,Mississippi,35.00645,1694.47309,2574.21743,1100.33047,768.16726,532.42788,320.2365,185.83743,205.60594,,7416.30245,35.00645,4268.69052,1868.49773,711.67987,0.472020259,57.55820436,25.19446507,9.596154887
Missouri,Rural,Interstate,0,584.668,199.827,30.888,14.163,6.936,3.4,1.151,0.5,,,,Missouri,32.58728,2674.44271,3300.29433,1659.87704,1013.79639,537.70484,254.8507,148.93064,147.18916,,9769.67309,32.58728,5974.73704,2673.67343,550.9705,0.33355548,61.15595665,27.3670716,5.639600168
Montana,Rural,Interstate,0,573.324,397.474,67.5,29.047,14.14,5.4,3.2,4.4,,,,Montana,11.89117,1673.11366,3177.61069,1069.86566,525.98815,277.36926,140.70132,76.86892,128.16344,,7081.57227,11.89117,4850.72435,1595.85381,345.73368,0.167917089,68.49784434,22.53530359,4.882159877
Nebraska,Rural,Interstate,2.81,212.84,145.33,25.47,15.25,8.6,2.8,0.6,0.9,,,,Nebraska,350.18852,3276.01944,2202.99087,638.46195,395.34288,247.30896,132.30353,113.68513,192.95768,,7549.25896,350.18852,5479.01031,1033.80483,438.94634,4.638713837,72.57679646,13.6941233,5.8144295
Nevada,Rural,Interstate,7.143,399.975,28.055,10.3,2.9,3.4,3.4,1,0.5,,,,Nevada,28.20394,1756.03132,951.7775,299.47327,127.03194,64.74224,28.7972,17.22995,17.91892,,3291.20628,28.20394,2707.80882,426.50521,63.94607,0.856948413,82.27405363,12.9589328,1.942937165
New Hampshire,Rural,Interstate,0,112.033,24,3.828,1.6,0.5,0,0,0,,,,New Hampshire,3.77772,623.28355,420.55241,122.91725,72.71429,56.42202,37.58991,33.23132,112.39555,,1482.88402,3.77772,1043.83596,195.63154,183.21678,0.25475492,70.39228597,13.1926393,12.35543559
New Jersey,Rural,Interstate,0,17.1,22.55,3.31,1,0.07,0.35,0.5,0,,,,New Jersey,3.01805,515.26171,868.43589,386.35081,295.33909,268.98348,198.25903,166.04328,461.97702,,3163.66836,3.01805,1383.6976,681.6899,826.27933,0.095397167,43.73712547,21.54745133,26.11776065
New Mexico,Rural,Interstate,0,561.449,175.857,54.64,27.248,13.892,5.347,2.31,2.593,,,,New Mexico,41.05922,1706.44691,1566.16245,815.36713,546.59648,417.10781,265.39372,178.50175,396.08818,,5932.72365,41.05922,3272.60936,1361.96361,839.98365,0.692080441,55.16200573,22.95680181,14.15848267
New York,Rural,Interstate,10.96,316.42,304.87,85.45,44.49,19.37,8.05,5.83,8.32,,,,New York,272.66056,1291.71085,3766.12693,1803.17954,1135.20001,744.04211,467.64819,335.29602,1021.54349,,10837.4077,272.66056,5057.83778,2938.37955,1824.4877,2.515920482,46.67018091,27.11330635,16.83509332
North Carolina,Rural,Interstate,0.641,386.114,122.836,22.787,15.161,7.191,4.009,1.561,0.49,,,,North Carolina,86.49092,1802.38292,3360.49392,1315.19206,803.30393,455.70898,251.50896,128.26546,214.68044,,8418.02759,86.49092,5162.87684,2118.49599,594.45486,1.027448759,61.33119409,25.16618017,7.061688188
North Dakota,Rural,Interstate,0,252.762,203.956,36.687,10.485,3.416,1.226,0.9,0.3,,,,North Dakota,5.82633,2318.99178,2556.12534,701.55899,316.75669,144.26392,76.64111,46.63606,85.68008,,6252.4803,5.82633,4875.11712,1018.31568,208.95725,0.0931843,77.97093131,16.28658758,3.341989738
Ohio,Rural,Interstate,0,346.1,195.524,55.788,22.909,12.178,5.034,2.451,2.547,,,,Ohio,28.15468,2394.45867,3443.44888,1234.77278,678.27294,449.56061,263.4514,180.0166,456.3186,,9128.45516,28.15468,5837.90755,1913.04572,899.7866,0.308427653,63.95285344,20.9569493,9.85694276
Oklahoma,Rural,Interstate,1.297,285.815,260.639,48.634,23.54,13.128,5.919,4.685,2.76,,,,Oklahoma,747.98768,850.42693,1564.83138,601.22053,346.55648,214.42238,119.44679,78.12403,108.02902,,4631.04522,747.98768,2415.25831,947.77701,305.59984,16.15159525,52.15363261,20.46572566,6.598938803
Oregon,Rural,Interstate,0,279.93,158.05,37.06,12.75,4.27,1.26,1.17,0.69,,,,Oregon,12.81655,1287.99474,2828.37161,1323.13543,560.42027,210.64245,114.83264,94.57552,73.36,,6506.14921,12.81655,4116.36635,1883.5557,282.76816,0.196991332,63.26885869,28.95039199,4.346167769
Pennsylvania,Rural,Interstate,0,518.984,364.954,89.359,55.553,20.466,8.722,7.752,8.644,,,,Pennsylvania,18.5577,1813.77461,3799.69291,2295.20957,1393.48559,856.54687,506.95273,322.15057,617.3462,,11623.71675,18.5577,5613.46752,3688.69516,1446.4495,0.159653753,48.29322359,31.7342141,12.44395
Rhode Island,Rural,Interstate,0,15.043,2.156,0.42,0.08,0.021,0.032,0.013,0.078,,,,Rhode Island,20.75057,64.401,85.259,62.90254,76.85968,76.65929,63.32115,50.19607,124.18914,,624.53844,20.75057,149.66,139.76222,237.70636,3.322544886,23.9632968,22.37848162,38.06112559
South Carolina,Rural,Interstate,0,359.77,132.389,29.88,13.84,6.365,2.297,1.25,0.5,,,,South Carolina,17.88049,1144.01744,2560.16041,1382.77095,715.54218,409.06933,172.55989,94.97414,94.53197,,6591.5068,17.88049,3704.17785,2098.31313,362.066,0.271265593,56.19622284,31.83358819,5.492917037
South Dakota,Rural,Interstate,0,218.611,313.169,35.867,13.421,6.149,2.615,1.2,0,,,,South Dakota,50.11042,1245.312,2756.20757,1185.35767,658.89232,360.97915,189.48635,106.63868,73.04942,,6626.03358,50.11042,4001.51957,1844.24999,369.17445,0.756265712,60.39087369,27.83339335,5.571575295
Tennessee,Rural,Interstate,0.02,518.603,91.86,14.415,10.068,5.445,2.063,1.5,0.22,,,,Tennessee,203.50228,2095.79364,1640.43577,504.03964,282.055,164.69,99.134,62.4596,94.543,,5146.65293,203.50228,3736.22941,786.09464,256.1366,3.954070398,72.59532478,15.27390035,4.976760693
Texas,Rural,Interstate,1.058,894.229,820.74,180.584,62.355,27.074,8.454,3.6,2.634,,,,Texas,261.93392,4567.5842,7083.90398,3185.13866,1884.0005,1129.31218,619.0564,424.3002,1079.866,,20235.09604,261.93392,11651.48818,5069.13916,2123.2226,1.294453555,57.58059244,25.05122363,10.49277254
Utah,Rural,Interstate,0,377.945,235.753,51.717,10.714,4.855,1.6,0.8,0.5,,,,Utah,12.70427,946.64398,1596.3039,722.24099,427.76521,218.26475,107.4039,46.88322,49.98263,,4128.19285,12.70427,2542.94788,1150.0062,204.26975,0.307744102,61.59954179,27.8573759,4.948163941
Vermont,Rural,Interstate,0.586,175.873,60.092,10.8,5.9,1.8,0.5,0.2,0.219,,,,Vermont,9.03369,431.07008,592.0347,211.2149,116.66132,72.90121,33.09355,28.39176,35.85217,,1530.25338,9.03369,1023.10478,327.87622,97.33748,0.59033949,66.85852117,21.42626994,6.360873387
Virginia,Rural,Interstate,0,271.93,267.66,39.553,11.204,5.617,1.07,0.394,0.362,,,,Virginia,38.55602,1010.0648,3600.87162,1855.78517,819.81412,420.93768,183.84428,107.83519,89.24124,,8126.95012,38.55602,4610.93642,2675.59929,380.92071,0.474421763,56.73636914,32.9225509,4.687129912
Washington,Rural,Interstate,0,170.39,144.9,41.09,27.76,18.14,9.63,8.01,9.07,,,,Washington,32.62911,958.06178,2261.91099,1133.90097,708.58262,486.8718,304.35384,211.38335,491.13663,,6588.83109,32.62911,3219.97277,1842.48359,1006.87382,0.495218493,48.8701672,27.96373992,15.28152424
West Virginia,Rural,Interstate,0.3,159.096,110.502,23.528,11.771,6.203,4.415,1.307,2.23,,,,West Virginia,30.40148,467.13545,1233.31882,725.99723,379.5772,222.69608,111.96042,79.59175,84.42118,,3335.09961,30.40148,1700.45427,1105.57443,275.97335,0.911561379,50.98661116,33.14966745,8.274815816
Wisconsin,Rural,Interstate,0,247.04,136.19,45.67,42.04,23.41,8.13,5.62,4.23,,,,Wisconsin,25.822,2647.02029,2846.06861,1586.58623,1225.63677,903.10046,560.71151,431.45808,646.82169,,10873.22564,25.822,5493.0889,2812.223,1638.99128,0.237482426,50.51940502,25.86374176,15.07364359
Wyoming,Rural,Interstate,0,482.567,210.748,62.094,27.825,13.848,5.42,2.25,2.722,,,,Wyoming,33.122,485.572,277.595,132.356,118.83724,111.5944,89.7835,96.2334,350.93625,,1696.02979,33.122,763.167,251.19324,536.95315,1.952913811,44.99726387,14.81066202,31.65941737
Alabama,Rural,Other Freeways & Expressways,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Alaska,Rural,Other Freeways & Expressways,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Arizona,Rural,Other Freeways & Expressways,0,17,0.215,0.1,0.1,0.189,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,Rural,Other Freeways & Expressways,0,2.171,25.086,19.1,12.78,7.4,3.902,1.2,0.397,,,,,,,,,,,,,,,,,,,,,,,
California,Rural,Other Freeways & Expressways,3.8,114.298,156.641,44.582,23.104,14.474,7.112,3.234,2.211,,,,,,,,,,,,,,,,,,,,,,,
Colorado,Rural,Other Freeways & Expressways,0,5.735,10.571,7.169,3.7,0.596,0.256,0.1,0,,,,,,,,,,,,,,,,,,,,,,,
Connecticut,Rural,Other Freeways & Expressways,0,15.06,15.36,1.95,1.79,0.68,0.38,0.3,0,,,,,,,,,,,,,,,,,,,,,,,
Delaware,Rural,Other Freeways & Expressways,0.06,1.2,8.48,4.2,1.95,0.62,0.93,0.2,0,,,,,,,,,,,,,,,,,,,,,,,
District of Columbia,Rural,Other Freeways & Expressways,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Florida,Rural,Other Freeways & Expressways,0.223,75.177,87.095,8.034,2.166,1.446,0.8,0.6,0.4,,,,,,,,,,,,,,,,,,,,,,,
Georgia,Rural,Other Freeways & Expressways,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,Rural,Other Freeways & Expressways,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Idaho,Rural,Other Freeways & Expressways,53.216,22.118,26.398,5.839,2.186,0.837,0.64,0.236,0.05,,,,,,,,,,,,,,,,,,,,,,,
Illinois,Rural,Other Freeways & Expressways,0,3.69,14.82,19,5.53,3.29,1,0.74,0.21,,,,,,,,,,,,,,,,,,,,,,,
Indiana,Rural,Other Freeways & Expressways,0.269,48.503,44.905,20.329,17.118,8.357,3.662,1.254,1.966,,,,,,,,,,,,,,,,,,,,,,,
Iowa,Rural,Other Freeways & Expressways,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Kansas,Rural,Other Freeways & Expressways,0,162.76,190.584,33.072,12.076,3.9,1.242,0.5,0.129,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,Rural,Other Freeways & Expressways,0.509,242.918,117.188,20.132,7.937,5.28,2.257,0.712,0.875,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,Rural,Other Freeways & Expressways,0.228,0.9,7.52,5.5,5.514,2.012,1.669,0.6,0.4,,,,,,,,,,,,,,,,,,,,,,,
Maine,Rural,Other Freeways & Expressways,0,0,0.55,0.12,0.2,0,0,0,0.06,,,,,,,,,,,,,,,,,,,,,,,
Maryland,Rural,Other Freeways & Expressways,0.031,40.208,22.707,3.5,1.012,0.602,0.228,0.665,0.539,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts,Rural,Other Freeways & Expressways,0,3.958,5.326,0.6,0.26,0,0.1,0,0.2,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Rural,Other Freeways & Expressways,0,195.962,102.464,24.527,8.909,3.822,4.729,1.923,1.162,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,Rural,Other Freeways & Expressways,0,15.422,12.641,3.467,1.194,0.468,0.404,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,Rural,Other Freeways & Expressways,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
