STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,DATE_LAST_UPDATE,TYPE_LAST_UPDATE,DEDUCT_CODE,REMARKS,PROGRAM_CODE,PROJ_NO,PROJ_SUFFIX,NBI_TYPE_OF_IMP,DTL_TYPE_OF_IMP,SPECIAL_CODE,STEP_CODE,STATUS_WITH_10YR_RULE,SUFFICIENCY_ASTERC,SUFFICIENCY_RATING,STATUS_NO_10YR_RULE,CAT10,CAT23,CAT29
10,      1016 221 ,1,4,1,00221,0,01,003,4450,'BEAVER VALLEY CREEK     ',,'BEAVER DAM RD.    ','N/E OF CENTERVILLE       ',99.99,5.08,0,,,39502008,075341846,1,3,01,01,09,1988,2,0,1630,2014,6,7.4,0,55,0,1,0,0,0,5,0,0,0,A,1,5,1,19,0,00,2,0,7.9,3.7,7.5,0,0,7.9,8.7,99.99,N,0,N,0,0,N,N,N,7,6,1,99.9,1,66.2,6,4,N,5,7,8,33,1,7.5,216,24,N  ,N  ,N  ,,,,175,18,263,,,,_              ,0,N,2,,0,0,0,1,6,0,0,9,0,,Y,8,2538,2036,0,N,5/4/2018,B,Z ,,,,,,,,,0,,84.7,0,F,6,65.25
10,      1017 221 ,1,4,1,00221,0,01,003,4450,'BEAVER CREEK TRIBUTARY  ',,'BEAVER DAM RD.    ','N/E OF CENTERVILLE       ',99.99,5.729,0,,,39502168,075335646,1,3,01,01,09,1987,2,0,2473,2014,5,5.2,0,49,0,0,0,0,0,5,0,0,0,A,1,5,1,19,0,00,2,0,9.8,4.3,9,0,0,9.8,10.3,99.99,N,0,N,0,0,N,N,N,6,7,1,78.9,1,47.2,7,4,N,5,7,8,,,,216,24,N  ,N  ,N  ,,,,,,,,,,_              ,0,N,2,,0,0,0,1,6,0,0,9,0,,Y,8,2538,2036,0,N,3/23/2017,B,Z ,,,,,,,,,0,,94.9,0,G,7,92.7
10,      1018 221 ,1,4,1,00221,0,01,003,4450,'BEAVER  CREEK           ',,'BEAVER DAM RD     ','N. OF BRANDYWINE S.P.    ',99.99,5.761,0,,,39502102,075335342,4,3,01,01,09,1987,2,0,2701,2015,5,6.9,0,66,0,0,0,0,0,5,0,0,0,A,1,5,1,19,0,00,2,0,9.8,7.3,15.3,0,0,9.8,10.3,99.99,N,0,N,0,0,N,N,N,5,7,1,50.8,1,30.4,7,4,N,5,7,8,,,,217,24,N  ,N  ,N  ,,,,,,,,,,_              ,0,N,2,,0,0,0,1,6,0,0,6,0,,Y,8,2545,2037,0,N,5/4/2018,B,Z ,,,,,,,,,0,,93.6,0,G,7,157.59
10,      1020 232 ,1,4,1,00232,0,01,003,79270,'HUSBANDS RUN            ',,'ROCKLAND RD       ','NORTH OF WILMINGTON      ',99.99,1.75,0,,,39471013,075334227,2,3,01,01,17,1932,2,0,3712,2015,9,6.1,0,8,0,0,0,0,0,5,0,0,0,A,1,5,1,01,0,00,1,0,7.3,7.7,8.4,0,0,7.3,8.3,99.99,N,0,N,0,0,7,7,5,7,N,1,99.9,1,56.4,5,2,N,5,6,8,35,1,7.6,416,24,N  ,N  ,N  ,,,,71,7,107,,,,_              ,0,N,2,,0,0,1993,1,6,0,1,6,0,,Y,8,5774,2036,0,N,3/23/2017,B,A ,,,,,,,,,2,,66.5,2,F,5,69.72
10,      1023A231 ,1,4,1,00231,0,01,003,31950,'READING RR              ',,'GUYENCOURT RD.    ','BRANDYWINE AREA          ',99.99,0.274,0,,,39485945,075350660,2,3,01,01,09,1918,2,0,369,2015,5,6.1,0,45,0,0,0,0,0,5,N,0,0,A,1,2,7,02,0,00,3,0,5.7,7.3,20.4,0,0,5.7,6.3,99.99,R,6.59,R,1.8,1.9,6,6,5,N,N,3,61.7,3,48.1,5,3,3,5,N,3,35,1,20.4,317,24,N  ,N  ,N  ,,,,139,14,209,,,,_              ,0,N,2,,0,0,1982,8,7,0,0,6,0,,Y,N,456,2037,0,N,5/4/2018,B,A ,,,,,,,,,2,,58.9,2,F,5,128.52
10,      1024 004 ,1,2,1,00202,0,01,003,16930,'ROCKY RUN               ',,'CONCORD PK/US202  ','NORTH OF WILMINGTON      ',99.99,7.194,1,0000000004,0,39485815,075325663,4,3,01,01,14,1987,7,0,30162,2015,5,31.4,2,24,0,0,N,0,0,5,0,0,0,A,5,5,1,19,0,00,3,0,99.9,2.4,9.3,0,1.5,0,0,99.99,N,0,N,0,0,N,N,N,8,6,3,99.9,3,99.9,6,N,N,5,6,8,,,,416,24,N  ,N  ,N  ,,,,,,,,,,_              ,0,N,2,,1,0,0,N,N,N,N,6,0,,Y,8,60898,2036,0,N,3/23/2017,B,Z ,,,,,,,,,0,*,76.1,0,F,6,292.02
10,      1026 203 ,1,3,1,00261,0,01,003,50020,'S. BRANCH NAAMANS CREEK ',,'FOULK RD/SR261    ','N/W OF ARDEN             ',99.99,6.6,0,,,39493283,075300223,2,3,01,01,16,1965,4,0,10304,2015,5,14.8,2,36,0,0,0,0,0,5,0,0,0,A,5,5,5,05,0,00,1,0,18.9,16.4,17.6,1.1,1.1,18.9,21.9,99.99,N,0,N,0,0,6,6,6,7,N,1,99.9,1,58.9,6,6,N,5,6,8,35,1,,217,24,N  ,N  ,N  ,,,,446,,446,,,,_              ,0,N,2,,0,0,0,2,6,0,0,6,0,,Y,7,12650,2037,0,N,5/4/2018,B,Z ,,Q100,N203004,0,14,14,,,0,,96,0,F,6,385.44
10,      1032 203 ,1,3,1,00261,0,01,003,26360,'SOUTH BRANCH NAAMANS CK ',,'FOULK RD/SR261    ','NORTH OF WILMINGTON      ',99.99,5.18,0,,,39485399,075303271,1,3,01,01,16,1965,4,0,15498,2015,1,15.8,0,0,0,0,0,0,0,5,0,0,0,A,5,5,5,05,0,00,1,0,15.8,8.1,9,1.2,1.2,15.8,19.1,99.99,N,0,N,0,0,8,8,7,7,N,3,99.9,3,80.7,7,4,N,5,6,8,35,1,9.1,1216,24,N  ,N  ,N  ,,,,184,18,202,2010,,,_              ,0,N,2,,0,0,2016,2,1,0,0,6,0,,Y,7,19102,2036,0,N,5/4/2018,B,Z ,,L110,N203009,0,14,15,,,0,,79.1,0,G,7,171.9
10,      1033 203 ,1,3,1,00261,0,01,003,53530,'SHELLPOT CREEK          ',,'FOULK RD/SR261    ','FAIRFAX                  ',99.99,2.48,0,,,39474255,075313823,2,3,01,01,16,1959,4,0,18261,2015,6,16.8,2,0,0,0,0,0,0,5,0,0,0,A,5,5,5,05,0,00,1,0,16.4,15.7,16.2,1.5,1.5,15.1,19.4,99.99,N,0,N,0,0,6,6,6,6,N,3,99.9,3,72,6,3,N,5,6,8,33,1,30.5,416,24,N  ,N  ,N  ,,,,500,100,600,,,,_              ,0,N,2,,0,0,1992,2,6,0,0,6,0,,Y,7,27507,2036,0,N,3/23/2017,B,A ,,L1CE,N203007,0,14,04,,,2,,75.8,2,F,6,314.28
10,      1035 203 ,1,3,1,00203,0,01,003,19470,'MATSON RUN              ',,'FOULK RD / SR261  ','NORTH OF WILMINGTON      ',99.99,0.82,0,,,39465880,075322040,0,3,01,01,16,1958,4,0,15450,2015,5,16,2,38,0,0,0,0,0,5,0,0,0,A,5,5,1,19,0,00,2,0,7.3,2.7,7.2,2,1.2,15.1,22.2,99.99,N,0,N,0,0,N,N,N,6,6,1,81.6,1,48.9,6,3,N,5,6,8,33,1,30.5,516,24,N  ,N  ,N  ,,,,500,100,600,,,,_              ,0,N,2,,0,0,0,1,0,0,0,6,0,,Y,8,17626,2036,0,N,5/4/2018,B,A ,,,,,,,,,2,,78,2,F,6,159.84
