COUNTRY,Country,VARIABLE,Variable,MEASURE,Measure,YEAR,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
ALB,Albania,I-INV-MTN-RD,Total road spending,NAT,National currency,2005,2005,ALL,Lek,0,Units,,,9352000000,,
ALB,Albania,I-INV-MTN-RD,Total road spending,NAT,National currency,2006,2006,ALL,Lek,0,Units,,,22265000000,,
ALB,Albania,I-INV-MTN-RD,Total road spending,NAT,National currency,2007,2007,ALL,Lek,0,Units,,,32081000000,,
ALB,Albania,I-INV-MTN-RD,Total road spending,NAT,National currency,2008,2008,ALL,Lek,0,Units,,,62369000000,,
ALB,Albania,I-INV-MTN-RD,Total road spending,NAT,National currency,2009,2009,ALL,Lek,0,Units,,,65474000000,,
ALB,Albania,I-INV-MTN-RD,Total road spending,NAT,National currency,2010,2010,ALL,Lek,0,Units,,,34257000000,,
ALB,Albania,I-INV-MTN-RD,Total road spending,NAT,National currency,2011,2011,ALL,Lek,0,Units,,,30564000000,,
ALB,Albania,I-INV-MTN-RD,Total road spending,NAT,National currency,2012,2012,ALL,Lek,0,Units,,,26066000000,,
ALB,Albania,I-INV-MTN-RD,Total road spending,NAT,National currency,2013,2013,ALL,Lek,0,Units,,,34080000000,,
ALB,Albania,I-INV-MTN-RD,Total road spending,NAT,National currency,2014,2014,ALL,Lek,0,Units,,,29107000000,,
ALB,Albania,I-INV-MTN-RD,Total road spending,NAT,National currency,2015,2015,ALL,Lek,0,Units,,,26211000000,,
ALB,Albania,I-INV-MTN-RD,Total road spending,NAT,National currency,2016,2016,ALL,Lek,0,Units,,,14028000000,,
ALB,Albania,I-INV-MTN-RD,Total road spending,NAT,National currency,2017,2017,ALL,Lek,0,Units,,,23163000000,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR,Euro,1996,1996,EUR,Euro,0,Units,,,15428479.65,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR,Euro,1997,1997,EUR,Euro,0,Units,,,13599960.6,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR,Euro,1998,1998,EUR,Euro,0,Units,,,27745479.57,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR,Euro,1999,1999,EUR,Euro,0,Units,,,72660908.05,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR,Euro,2000,2000,EUR,Euro,0,Units,,,108369011.3,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR,Euro,2001,2001,EUR,Euro,0,Units,,,107588412.6,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR,Euro,2002,2002,EUR,Euro,0,Units,,,64518813.26,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR,Euro,2003,2003,EUR,Euro,0,Units,,,60797437.17,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR,Euro,2004,2004,EUR,Euro,0,Units,,,91107303.55,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR,Euro,2005,2005,EUR,Euro,0,Units,,,68148186.3,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR,Euro,2006,2006,EUR,Euro,0,Units,,,175233474,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR,Euro,2007,2007,EUR,Euro,0,Units,,,253263291.8,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR,Euro,2008,2008,EUR,Euro,0,Units,,,499569448.9,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR,Euro,2009,2009,EUR,Euro,0,Units,,,486936838,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR,Euro,2010,2010,EUR,Euro,0,Units,,,241902743.6,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR,Euro,2011,2011,EUR,Euro,0,Units,,,210194497.3,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR,Euro,2012,2012,EUR,Euro,0,Units,,,180818729.6,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR,Euro,2013,2013,EUR,Euro,0,Units,,,234161674.4,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR,Euro,2014,2014,EUR,Euro,0,Units,,,192720205.2,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR,Euro,2015,2015,EUR,Euro,0,Units,,,179237483.8,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR,Euro,2016,2016,EUR,Euro,0,Units,,,89140668.52,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR,Euro,2017,2017,EUR,Euro,0,Units,,,159051489.9,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR,Euro,1998,1998,EUR,Euro,0,Units,,,2770395.33,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR,Euro,1999,1999,EUR,Euro,0,Units,,,2783134.613,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR,Euro,2000,2000,EUR,Euro,0,Units,,,3839342.017,,
ALB,Albania,I-MTN-RD,Road infrastructure maintenance,EUR,Euro,2001,2001,EUR,Euro,0,Units,,,5706802.696,,
