,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aviation (Capital),"1,545","2,042","3,074","2,830","3,049","4,027","3,220","2,727","2,572","2,978","2,748","2,886","3,097","4,264","5,325","5,221","6,251","6,585","4,149","3,825","3,731","3,098","4,064","5,020","5,737","4,925","4,305","4,701","5,962","6,480","7,457","8,333","8,706","8,868","9,598","10,470","12,176","13,734","12,665","9,677","9,820","11,178","11,776","14,004","14,370","16,747","16,555","17,066","16,994","15,342","13,577","13,164","12,920","13,830","14,567","12,324","10,227","9,554","8,933","9,621","8,706","9,066"
Aviation (O&M),763,898,285,"1,028","1,266","1,335","1,439","1,587","1,607","1,705","1,777","1,771","1,771","2,084","2,280","2,489","2,642","2,729","3,015","3,369","3,705","3,837","4,031","4,234","4,531","4,789","5,012","5,151","5,340","5,452","5,832","6,088","6,430","6,895","7,119","7,327","7,558","8,064","8,618","9,098","9,560","9,821","10,113","10,620","10,987","11,579","12,036","12,132","12,102","12,131","12,496","12,940","13,086","13,556","13,231","12,915","13,133","13,074","13,579","13,893","14,265","14,374"
Water Transportation (Total),"2,516","2,190","2,454","2,687","2,662","3,165","3,109","2,975","3,003","2,786","3,078","2,966","3,561","3,827","3,465","3,646","3,537","3,809","3,618","3,773","3,367","3,428","3,515","4,148","4,377","4,655","4,144","4,075","3,801","4,136","4,490","4,472","4,569","4,552","4,474","4,336","4,061","4,659","5,088","4,608","4,974","5,149","5,138","5,405","6,510","8,869","6,642","8,452","5,935","5,579","5,817","6,052","6,072","6,381","6,132","5,820","5,753","5,840","6,413","6,106","5,992","5,805"
Water Transportation (Capital),"1,137","1,068","1,356","1,527","1,370","1,929","1,826","1,866","1,658","1,491","1,757","1,615","2,224","2,335","1,940","2,116","1,977","2,110","1,922","1,956","1,486","1,363","1,421","1,988","2,159","2,379","1,861","1,755","1,563","1,905","2,208","2,128","2,180","2,145","2,070","1,993","1,744","2,302","2,778","2,204","2,405","2,451","2,338","2,669","3,910","6,095","3,611","5,173","2,669","2,361","2,569","2,731","2,660","2,760","2,774","2,439","2,441","2,545","3,014","2,628","2,420","2,207"
Water Transportation (O&M),"1,380","1,122","1,098","1,160","1,292","1,236","1,283","1,109","1,345","1,295","1,322","1,350","1,338","1,492","1,526","1,530","1,560","1,699","1,695","1,817","1,882","2,065","2,095","2,160","2,219","2,276","2,283","2,321","2,237","2,232","2,281","2,344","2,389","2,407","2,403","2,343","2,317","2,356","2,310","2,404","2,569","2,698","2,799","2,736","2,600","2,774","3,031","3,278","3,266","3,218","3,248","3,321","3,412","3,621","3,358","3,382","3,312","3,295","3,399","3,478","3,571","3,598"
Water Resources (Total),"1,870","2,603","3,310","4,066","1,870","1,995","2,234","3,001","3,493","2,783","5,211","6,166","5,883","5,106","4,931","4,818","4,379","3,528","3,604","3,862","4,072","3,989","4,255","5,005","5,770","5,783","5,417","5,835","5,904","6,859","7,369","8,922","11,972","12,578","13,239","12,693","12,724","12,921","13,980","15,074","15,501","16,019","16,546","16,868","18,002","18,971","18,267","18,363","17,469","17,015","17,842","19,345","19,048","18,904","17,492","17,780","19,866","18,736","18,053","18,690","18,770","18,704"
Water Resources (Capital),343,499,707,"1,008",322,450,484,807,"1,179",713,"1,584","2,125","1,946","1,503","1,338","1,271","1,018",772,829,882,785,749,537,684,883,"1,037","1,745","2,088","2,272","2,739","2,834","3,252","3,375","3,671","4,273","3,803","3,532","3,357","3,779","4,454","4,499","4,313","4,362","4,852","6,108","6,427","5,423","5,105","5,044","4,902","5,152","6,565","6,474","5,843","4,744","4,818","5,091","4,451","4,127","4,442","4,141","3,963"
Water Resources (O&M),"1,526","2,104","2,603","3,058","1,548","1,545","1,751","2,194","2,314","2,070","3,627","4,041","3,938","3,603","3,592","3,547","3,361","2,755","2,774","2,980","3,286","3,239","3,718","4,320","4,887","4,747","3,672","3,747","3,633","4,120","4,535","5,670","8,597","8,908","8,966","8,890","9,192","9,565","10,201","10,620","11,002","11,705","12,184","12,016","11,894","12,545","12,844","13,258","12,425","12,113","12,690","12,780","12,574","13,061","12,748","12,962","14,775","14,285","13,926","14,247","14,630","14,741"
Water Utilities (Total),"26,983","27,729","27,558","30,274","32,351","34,157","34,943","37,387","38,158","40,233","42,189","38,727","39,070","40,578","41,426","43,278","46,200","47,179","48,478","52,863","54,695","59,348","59,996","64,947","66,835","67,869","66,537","66,838","66,224","70,345","76,385","81,718","83,917","86,049","88,833","91,782","92,424","93,286","93,154","96,626","98,318","100,812","101,300","103,633","102,472","102,352","109,607","113,088","113,905","111,528","113,077","118,235","118,815","127,116","127,420","123,368","116,303","114,546","114,816","116,625","115,935","112,752"
Water Utilities (Capital),"14,346","14,403","14,068","16,765","17,334","18,345","19,057","20,209","21,366","23,088","24,158","20,751","20,747","21,786","21,725","23,015","25,000","25,136","25,174","28,151","28,224","28,854","27,718","31,259","32,261","31,602","28,140","26,931","25,634","27,972","31,506","35,012","36,234","36,141","37,106","39,431","38,912","36,806","33,058","34,597","35,140","36,403","36,085","38,703","37,720","36,930","41,650","44,957","45,306","43,352","42,829","44,916","45,046","49,196","49,126","46,393","40,436","38,593","37,915","37,949","35,148","31,349"
Water Utilities (O&M),"12,638","13,326","13,490","13,509","15,017","15,811","15,887","17,178","16,792","17,146","18,031","17,976","18,322","18,792","19,701","20,263","21,200","22,043","23,305","24,713","26,471","30,494","32,278","33,688","34,575","36,267","38,397","39,907","40,589","42,373","44,879","46,706","47,683","49,909","51,727","52,352","53,511","56,480","60,097","62,029","63,178","64,410","65,215","64,930","64,753","65,422","67,956","68,131","68,600","68,175","70,247","73,320","73,770","77,920","78,294","76,975","75,867","75,953","76,900","78,676","80,787","81,403"
