State,Year,(R01) Total Revenue,(E001) Total Expenditure,(E065) Total Highways-Dir Exp,(E066) Total Highways-Cur Op,(E067) Total Highways-Cap Out,(E068) Regular Hwy-Direct Exp,(E069) Regular Hwy-Cur Oper (E44),(E070) Regular Hwy-Cap Outlay,(E071) Toll Hwy-Total Expend,(E072) Toll Hwy-Current Oper (E45),(E073) Toll Hwy-Cap Outlay
Kansas,2000,"$8,579 ","$7,620 ",$906 ,$474 ,$432 ,$879 ,$461 ,$418 ,$27 ,$13 ,$14 
Kansas,2002,"$8,025 ","$8,393 ",$767 ,$342 ,$425 ,$736 ,$328 ,$408 ,$31 ,$14 ,$17 
Kansas,2004,"$8,819 ","$8,709 ",$841 ,$328 ,$514 ,$814 ,$309 ,$505 ,$28 ,$18 ,$9 
Kansas,2005,"$9,139 ","$8,663 ",$777 ,$314 ,$464 ,$754 ,$298 ,$456 ,$24 ,$16 ,$8 
Kansas,2006,"$9,499 ","$8,900 ",$787 ,$312 ,$474 ,$751 ,$296 ,$456 ,$35 ,$17 ,$19 
Kansas,2007,"$10,299 ","$9,250 ",$706 ,$318 ,$388 ,$673 ,$300 ,$373 ,$33 ,$18 ,$16 
Kansas,2008,"$9,167 ","$9,572 ",$752 ,$345 ,$407 ,$724 ,$317 ,$406 ,$29 ,$28 ,$0 
Kansas,2009,"$8,479 ","$10,419 ",$760 ,$332 ,$428 ,$718 ,$306 ,$412 ,$43 ,$27 ,$16 
Kansas,2010,"$10,355 ","$10,436 ",$674 ,$307 ,$366 ,$638 ,$289 ,$349 ,$36 ,$18 ,$17 
Kansas,2011,"$10,842 ","$10,074 ",$667 ,$309 ,$358 ,$632 ,$287 ,$345 ,$35 ,$22 ,$13 
Kansas,2012,"$9,678 ","$9,827 ",$669 ,$325 ,$343 ,$641 ,$304 ,$338 ,$27 ,$22 ,$6 
Kansas,2013,"$10,286 ","$9,542 ",$626 ,$301 ,$325 ,$609 ,$284 ,$325 ,$17 ,$17 ,$0 
Kansas,2014,"$10,547 ","$9,718 ",$636 ,$315 ,$321 ,$616 ,$296 ,$320 ,$20 ,$19 ,$1 
Kansas,2015,"$9,875 ","$9,974 ",$677 ,$322 ,$355 ,$659 ,$305 ,$354 ,$18 ,$18 ,$1 
Kansas,2016,"$9,717 ","$10,091 ",$691 ,$309 ,$382 ,$666 ,$287 ,$379 ,$25 ,$22 ,$3 
Kansas,2017,"$11,085 ","$10,490 ",$660 ,$302 ,$358 ,$629 ,$282 ,$347 ,$31 ,$20 ,$11 
Kentucky,1977,"$4,755 ","$4,572 ",$524 ,$188 ,$336 ,$507 ,$179 ,$329 ,$17 ,$10 ,$8 
Kentucky,1978,"$4,822 ","$4,540 ",$591 ,$192 ,$400 ,$538 ,$182 ,$356 ,$54 ,$10 ,$44 
Kentucky,1979,"$4,876 ","$4,904 ",$756 ,$202 ,$554 ,$618 ,$190 ,$428 ,$138 ,$11 ,$126 
Kentucky,1980,"$4,662 ","$4,942 ",$797 ,$195 ,$602 ,$654 ,$182 ,$472 ,$143 ,$13 ,$130 
Kentucky,1981,"$4,594 ","$4,725 ",$599 ,$139 ,$460 ,$489 ,$129 ,$360 ,$111 ,$11 ,$100 
Kentucky,1982,"$4,553 ","$4,449 ",$466 ,$145 ,$322 ,$407 ,$134 ,$273 ,$59 ,$11 ,$49 
Kentucky,1983,"$4,699 ","$4,545 ",$468 ,$186 ,$282 ,$427 ,$180 ,$246 ,$41 ,$5 ,$36 
Kentucky,1984,"$4,903 ","$4,716 ",$494 ,$166 ,$328 ,$485 ,$162 ,$324 ,$9 ,$5 ,$4 
Kentucky,1985,"$5,276 ","$4,738 ",$444 ,$183 ,$261 ,$434 ,$177 ,$257 ,$10 ,$6 ,$4 
Kentucky,1986,"$5,738 ","$4,977 ",$498 ,$243 ,$255 ,$492 ,$238 ,$255 ,$5 ,$5 ,$0 
Kentucky,1987,"$5,655 ","$5,260 ",$542 ,$246 ,$296 ,$530 ,$241 ,$289 ,$12 ,$5 ,$7 
Kentucky,1988,"$5,749 ","$5,383 ",$492 ,$185 ,$307 ,$485 ,$181 ,$304 ,$6 ,$4 ,$2 
Kentucky,1989,"$6,076 ","$5,555 ",$561 ,$182 ,$379 ,$557 ,$178 ,$379 ,$4 ,$4 ,$0 
Kentucky,1990,"$5,987 ","$5,538 ",$409 ,$189 ,$221 ,$397 ,$185 ,$213 ,$12 ,$4 ,$8 
Kentucky,1991,"$6,430 ","$5,989 ",$464 ,$192 ,$272 ,$456 ,$189 ,$267 ,$8 ,$3 ,$5 
Kentucky,1992,"$6,621 ","$6,274 ",$493 ,$177 ,$316 ,$482 ,$173 ,$309 ,$10 ,$3 ,$7 
Kentucky,1993,"$6,709 ","$6,283 ",$466 ,$160 ,$307 ,$413 ,$157 ,$256 ,$54 ,$2 ,$51 
Kentucky,1994,"$6,780 ","$6,219 ",$423 ,$165 ,$258 ,$386 ,$163 ,$224 ,$36 ,$2 ,$34 
Kentucky,1995,"$7,139 ","$6,470 ",$436 ,$170 ,$265 ,$402 ,$168 ,$234 ,$33 ,$2 ,$31 
Kentucky,1996,"$7,380 ","$6,638 ",$473 ,$181 ,$292 ,$435 ,$179 ,$256 ,$38 ,$2 ,$35 
Kentucky,1997,"$7,833 ","$6,886 ",$486 ,$185 ,$301 ,$455 ,$183 ,$273 ,$30 ,$2 ,$28 
Kentucky,1998,"$8,158 ","$7,081 ",$507 ,$222 ,$285 ,$480 ,$220 ,$260 ,$27 ,$2 ,$25 
Kentucky,1999,"$8,337 ","$7,478 ",$579 ,$220 ,$359 ,$553 ,$218 ,$335 ,$26 ,$1 ,$24 
Kentucky,2000,"$8,859 ","$7,549 ",$617 ,$245 ,$371 ,$608 ,$245 ,$363 ,$9 ,$0 ,$9 
Kentucky,2002,"$7,487 ","$8,261 ",$650 ,$258 ,$392 ,$633 ,$258 ,$375 ,$17 ,$0 ,$17 
Kentucky,2004,"$8,398 ","$8,393 ",$609 ,$262 ,$347 ,$609 ,$262 ,$347 ,$0 ,$0 ,$0 
Kentucky,2005,"$8,422 ","$8,194 ",$490 ,$247 ,$243 ,$488 ,$246 ,$242 ,$2 ,$1 ,$1 
Kentucky,2006,"$8,912 ","$8,624 ",$541 ,$233 ,$308 ,$521 ,$232 ,$290 ,$19 ,$1 ,$18 
Kentucky,2007,"$9,387 ","$8,810 ",$654 ,$217 ,$437 ,$596 ,$217 ,$379 ,$58 ,$0 ,$58 
Kentucky,2008,"$7,825 ","$9,183 ",$734 ,$223 ,$511 ,$670 ,$223 ,$447 ,$64 ,$0 ,$64 
Kentucky,2009,"$7,436 ","$9,524 ",$570 ,$238 ,$332 ,$548 ,$238 ,$310 ,$22 ,$0 ,$22 
Kentucky,2010,"$9,710 ","$9,978 ",$585 ,$240 ,$345 ,$564 ,$240 ,$324 ,$21 ,$0 ,$21 
Kentucky,2011,"$10,217 ","$9,740 ",$557 ,$224 ,$333 ,$527 ,$224 ,$304 ,$30 ,$0 ,$30 
Kentucky,2012,"$8,706 ","$9,649 ",$606 ,$215 ,$391 ,$562 ,$214 ,$348 ,$44 ,$0 ,$43 
Kentucky,2013,"$9,137 ","$9,208 ",$618 ,$209 ,$409 ,$578 ,$208 ,$370 ,$40 ,$1 ,$40 
Kentucky,2014,"$9,710 ","$9,323 ",$655 ,$218 ,$437 ,$626 ,$217 ,$409 ,$29 ,$1 ,$28 
Kentucky,2015,"$9,314 ","$10,107 ",$698 ,$231 ,$467 ,$673 ,$231 ,$443 ,$25 ,$1 ,$24 
Kentucky,2016,"$9,276 ","$10,460 ",$637 ,$223 ,$414 ,$619 ,$223 ,$397 ,$17 ,$0 ,$17 
Kentucky,2017,"$9,997 ","$10,353 ",$529 ,$209 ,$320 ,$512 ,$208 ,$304 ,$17 ,$1 ,$16 
Louisiana,1977,"$5,381 ","$5,285 ",$668 ,$212 ,$457 ,$668 ,$211 ,$457 ,$0 ,$0 ,$0 
Louisiana,1978,"$5,532 ","$5,199 ",$586 ,$246 ,$340 ,$586 ,$246 ,$340 ,$0 ,$0 ,$0 
Louisiana,1979,"$5,537 ","$5,002 ",$485 ,$223 ,$262 ,$485 ,$223 ,$262 ,$0 ,$0 ,$0 
Louisiana,1980,"$5,623 ","$5,168 ",$559 ,$229 ,$330 ,$559 ,$229 ,$330 ,$0 ,$0 ,$0 
Louisiana,1981,"$5,594 ","$5,456 ",$567 ,$228 ,$339 ,$567 ,$228 ,$339 ,$0 ,$0 ,$0 
Louisiana,1982,"$5,807 ","$5,697 ",$440 ,$97 ,$342 ,$440 ,$97 ,$342 ,$0 ,$0 ,$0 
Louisiana,1983,"$6,023 ","$6,219 ",$614 ,$194 ,$419 ,$614 ,$194 ,$419 ,$0 ,$0 ,$0 
Louisiana,1984,"$6,168 ","$6,240 ",$590 ,$199 ,$391 ,$590 ,$199 ,$391 ,$0 ,$0 ,$0 
Louisiana,1985,"$6,537 ","$6,192 ",$530 ,$193 ,$338 ,$530 ,$193 ,$338 ,$0 ,$0 ,$0 
Louisiana,1986,"$6,605 ","$6,424 ",$551 ,$181 ,$370 ,$551 ,$181 ,$370 ,$0 ,$0 ,$0 
Louisiana,1987,"$6,922 ","$6,446 ",$504 ,$176 ,$328 ,$504 ,$176 ,$328 ,$0 ,$0 ,$0 
Louisiana,1988,"$6,061 ","$6,206 ",$462 ,$177 ,$285 ,$457 ,$175 ,$283 ,$4 ,$2 ,$2 
Louisiana,1989,"$6,727 ","$6,295 ",$428 ,$169 ,$259 ,$426 ,$167 ,$258 ,$3 ,$2 ,$1 
Louisiana,1990,"$6,913 ","$6,455 ",$459 ,$160 ,$299 ,$449 ,$153 ,$296 ,$10 ,$7 ,$3 
Louisiana,1991,"$6,974 ","$6,729 ",$495 ,$187 ,$308 ,$484 ,$181 ,$303 ,$11 ,$6 ,$5 
Louisiana,1992,"$7,097 ","$7,184 ",$503 ,$210 ,$293 ,$487 ,$203 ,$284 ,$16 ,$7 ,$9 
Louisiana,1993,"$7,574 ","$7,284 ",$444 ,$197 ,$246 ,$429 ,$192 ,$238 ,$14 ,$6 ,$9 
Louisiana,1994,"$7,553 ","$7,191 ",$443 ,$200 ,$244 ,$427 ,$193 ,$234 ,$17 ,$6 ,$10 
Louisiana,1995,"$7,597 ","$7,639 ",$429 ,$197 ,$232 ,$419 ,$191 ,$229 ,$9 ,$6 ,$3 
Louisiana,1996,"$7,621 ","$7,344 ",$457 ,$210 ,$247 ,$447 ,$204 ,$243 ,$10 ,$6 ,$4 
Louisiana,1997,"$8,082 ","$7,327 ",$420 ,$216 ,$204 ,$410 ,$209 ,$201 ,$10 ,$6 ,$3 
Louisiana,1998,"$8,601 ","$7,561 ",$476 ,$214 ,$262 ,$467 ,$207 ,$260 ,$9 ,$7 ,$2 
Louisiana,1999,"$8,476 ","$7,853 ",$511 ,$214 ,$297 ,$500 ,$207 ,$293 ,$11 ,$7 ,$4 
Louisiana,2000,"$8,629 ","$7,964 ",$526 ,$207 ,$319 ,$513 ,$200 ,$313 ,$13 ,$7 ,$6 
Louisiana,2002,"$8,298 ","$8,284 ",$464 ,$204 ,$260 ,$449 ,$197 ,$252 ,$14 ,$7 ,$7 
Louisiana,2004,"$9,725 ","$8,865 ",$480 ,$205 ,$274 ,$466 ,$197 ,$270 ,$14 ,$9 ,$5 
Louisiana,2005,"$9,834 ","$8,934 ",$489 ,$207 ,$283 ,$474 ,$197 ,$277 ,$15 ,$9 ,$6 
Louisiana,2006,"$11,250 ","$9,979 ",$595 ,$216 ,$379 ,$580 ,$206 ,$374 ,$15 ,$10 ,$5 
Louisiana,2007,"$12,629 ","$10,612 ",$598 ,$221 ,$377 ,$583 ,$210 ,$374 ,$14 ,$11 ,$3 
Louisiana,2008,"$11,561 ","$12,037 ",$762 ,$224 ,$539 ,$744 ,$211 ,$533 ,$18 ,$12 ,$6 
Louisiana,2009,"$9,673 ","$12,213 ",$897 ,$245 ,$652 ,$881 ,$232 ,$649 ,$16 ,$13 ,$3 
Louisiana,2010,"$11,645 ","$12,060 ",$717 ,$230 ,$486 ,$703 ,$219 ,$484 ,$14 ,$11 ,$3 
Louisiana,2011,"$11,736 ","$11,659 ",$717 ,$232 ,$485 ,$706 ,$223 ,$483 ,$12 ,$9 ,$2 
Louisiana,2012,"$9,733 ","$11,150 ",$641 ,$228 ,$412 ,$630 ,$220 ,$410 ,$11 ,$8 ,$2 
Louisiana,2013,"$10,860 ","$10,889 ",$572 ,$229 ,$343 ,$558 ,$221 ,$338 ,$14 ,$8 ,$5 
Louisiana,2014,"$11,215 ","$10,526 ",$489 ,$210 ,$278 ,$476 ,$202 ,$274 ,$13 ,$8 ,$4 
Louisiana,2015,"$9,619 ","$10,422 ",$512 ,$216 ,$296 ,$500 ,$207 ,$293 ,$13 ,$9 ,$4 
Louisiana,2016,"$9,412 ","$10,368 ",$523 ,$199 ,$324 ,$511 ,$191 ,$319 ,$12 ,$8 ,$4 
Louisiana,2017,"$11,232 ","$10,462 ",$514 ,$227 ,$287 ,$499 ,$216 ,$283 ,$15 ,$10 ,$5 
Alaska,1977,"$17,599 ","$15,404 ","$1,940 ",$480 ,"$1,460 ","$1,940 ",$480 ,"$1,460 ",$0 ,$0 ,$0 
Alaska,1978,"$16,380 ","$15,716 ","$1,790 ",$426 ,"$1,364 ","$1,790 ",$426 ,"$1,364 ",$0 ,$0 ,$0 
Alaska,1979,"$18,853 ","$17,269 ","$1,499 ",$566 ,$933 ,"$1,499 ",$566 ,$933 ,$0 ,$0 ,$0 
Alaska,1980,"$28,225 ","$19,986 ","$1,641 ",$647 ,$994 ,"$1,641 ",$647 ,$994 ,$0 ,$0 ,$0 
Alaska,1981,"$37,736 ","$20,535 ","$1,687 ",$604 ,"$1,083 ","$1,687 ",$604 ,"$1,083 ",$0 ,$0 ,$0 
Alaska,1982,"$38,077 ","$22,294 ","$1,750 ",$623 ,"$1,127 ","$1,750 ",$623 ,"$1,127 ",$0 ,$0 ,$0 
Alaska,1983,"$31,014 ","$24,270 ","$2,105 ",$886 ,"$1,219 ","$1,789 ",$604 ,"$1,185 ",$316 ,$282 ,$34 
Alaska,1984,"$30,030 ","$23,636 ","$2,124 ",$916 ,"$1,207 ","$1,804 ",$634 ,"$1,170 ",$320 ,$282 ,$37 
Alaska,1985,"$31,298 ","$24,102 ","$2,353 ",$952 ,"$1,400 ","$2,059 ",$695 ,"$1,363 ",$294 ,$257 ,$37 
Alaska,1986,"$30,767 ","$23,285 ","$1,987 ",$957 ,"$1,030 ","$1,485 ",$689 ,$795 ,$503 ,$268 ,$235 
Alaska,1987,"$25,258 ","$23,660 ","$2,336 ","$1,065 ","$1,271 ","$2,092 ",$833 ,"$1,259 ",$244 ,$231 ,$13 
Alaska,1988,"$25,102 ","$21,311 ","$2,070 ","$1,123 ",$948 ,"$1,755 ",$890 ,$866 ,$315 ,$233 ,$82 
Alaska,1989,"$23,793 ","$21,083 ","$2,107 ","$1,170 ",$937 ,"$1,793 ",$943 ,$851 ,$314 ,$228 ,$86 
Alaska,1990,"$24,131 ","$20,474 ","$1,818 ","$1,128 ",$689 ,"$1,596 ",$935 ,$661 ,$222 ,$194 ,$28 
Alaska,1991,"$25,162 ","$20,087 ","$1,814 ","$1,166 ",$648 ,"$1,559 ",$959 ,$600 ,$255 ,$207 ,$48 
Alaska,1992,"$23,741 ","$20,225 ","$1,823 ","$1,133 ",$690 ,"$1,564 ",$924 ,$640 ,$259 ,$209 ,$49 
Alaska,1993,"$25,612 ","$19,593 ","$1,891 ","$1,093 ",$797 ,"$1,686 ",$889 ,$797 ,$205 ,$205 ,$0 
Alaska,1994,"$21,449 ","$19,301 ","$1,781 ","$1,034 ",$747 ,"$1,511 ",$827 ,$684 ,$269 ,$207 ,$63 
Alaska,1995,"$26,878 ","$19,158 ","$1,766 ","$1,002 ",$764 ,"$1,503 ",$802 ,$701 ,$264 ,$200 ,$63 
Alaska,1996,"$25,676 ","$18,521 ","$1,792 ","$1,039 ",$753 ,"$1,500 ",$830 ,$670 ,$292 ,$209 ,$83 
Alaska,1997,"$28,166 ","$18,753 ","$1,701 ",$984 ,$718 ,"$1,369 ",$788 ,$581 ,$333 ,$196 ,$137 
Alaska,1998,"$26,737 ","$18,809 ","$1,555 ",$938 ,$617 ,"$1,241 ",$750 ,$491 ,$314 ,$188 ,$126 
Alaska,1999,"$21,723 ","$19,040 ","$1,762 ",$922 ,$840 ,"$1,535 ",$739 ,$796 ,$227 ,$183 ,$44 
Alaska,2000,"$23,859 ","$19,557 ","$1,875 ",$888 ,$987 ,"$1,672 ",$747 ,$925 ,$203 ,$141 ,$62 
Alaska,2002,"$14,833 ","$19,934 ","$1,942 ",$918 ,"$1,025 ","$1,737 ",$770 ,$967 ,$205 ,$148 ,$57 
Alaska,2004,"$21,712 ","$19,714 ","$1,875 ","$1,073 ",$801 ,"$1,613 ",$919 ,$694 ,$262 ,$154 ,$108 
Alaska,2005,"$21,461 ","$18,869 ","$2,262 ",$985 ,"$1,277 ","$2,014 ",$810 ,"$1,204 ",$248 ,$175 ,$73 
Alaska,2006,"$23,850 ","$19,440 ","$2,347 ","$1,103 ","$1,245 ","$2,107 ",$884 ,"$1,223 ",$240 ,$219 ,$21 
Alaska,2007,"$26,995 ","$20,261 ","$2,434 ","$1,137 ","$1,297 ","$2,160 ",$907 ,"$1,252 ",$274 ,$229 ,$45 
Alaska,2008,"$31,609 ","$21,370 ","$2,519 ","$1,144 ","$1,375 ","$2,245 ",$922 ,"$1,324 ",$274 ,$223 ,$51 
Alaska,2009,"$20,597 ","$23,780 ","$2,789 ","$1,201 ","$1,588 ","$2,524 ",$988 ,"$1,536 ",$266 ,$213 ,$52 
Alaska,2010,"$24,632 ","$22,754 ","$2,731 ","$1,182 ","$1,549 ","$2,487 ",$982 ,"$1,505 ",$244 ,$201 ,$43 
Alaska,2011,"$27,700 ","$22,005 ","$2,540 ","$1,215 ","$1,324 ","$2,269 ",$991 ,"$1,278 ",$270 ,$224 ,$46 
Alaska,2012,"$26,600 ","$21,393 ","$1,862 ","$1,094 ",$768 ,"$1,561 ",$851 ,$710 ,$301 ,$243 ,$59 
Alaska,2013,"$24,814 ","$22,111 ","$2,012 ","$1,152 ",$860 ,"$1,718 ",$917 ,$801 ,$295 ,$236 ,$59 
Alaska,2014,"$23,152 ","$23,262 ","$2,264 ","$1,165 ","$1,099 ","$2,010 ",$942 ,"$1,068 ",$254 ,$223 ,$31 
Alaska,2015,"$16,804 ","$23,653 ","$2,222 ","$1,079 ","$1,142 ","$1,974 ",$870 ,"$1,104 ",$247 ,$209 ,$38 
Alaska,2016,"$16,036 ","$21,832 ","$2,180 ",$954 ,"$1,226 ","$1,987 ",$790 ,"$1,197 ",$193 ,$164 ,$29 
Alaska,2017,"$19,308 ","$20,180 ","$1,909 ",$955 ,$954 ,"$1,744 ",$800 ,$945 ,$165 ,$155 ,$10 
Maine,1977,"$5,197 ","$5,233 ",$580 ,$353 ,$227 ,$524 ,$315 ,$210 ,$56 ,$38 ,$17 
Maine,1978,"$5,431 ","$5,272 ",$570 ,$353 ,$217 ,$537 ,$332 ,$206 ,$33 ,$21 ,$12 
Maine,1979,"$5,168 ","$4,999 ",$584 ,$340 ,$244 ,$546 ,$314 ,$232 ,$38 ,$26 ,$12 
Maine,1980,"$5,003 ","$4,813 ",$557 ,$308 ,$249 ,$526 ,$286 ,$240 ,$31 ,$22 ,$9 
Maine,1981,"$4,937 ","$4,714 ",$460 ,$292 ,$168 ,$433 ,$271 ,$162 ,$27 ,$21 ,$6 
Maine,1982,"$4,961 ","$4,855 ",$479 ,$285 ,$194 ,$452 ,$263 ,$189 ,$27 ,$22 ,$5 
Maine,1983,"$5,065 ","$4,996 ",$488 ,$320 ,$168 ,$447 ,$299 ,$147 ,$41 ,$20 ,$21 
Maine,1984,"$5,387 ","$5,165 ",$453 ,$298 ,$155 ,$429 ,$277 ,$152 ,$25 ,$21 ,$3 
Maine,1985,"$5,836 ","$5,386 ",$522 ,$313 ,$209 ,$485 ,$289 ,$195 ,$38 ,$24 ,$14 
Maine,1986,"$6,226 ","$5,750 ",$542 ,$323 ,$219 ,$505 ,$296 ,$209 ,$37 ,$27 ,$10 
Maine,1987,"$6,630 ","$5,965 ",$531 ,$340 ,$191 ,$491 ,$313 ,$178 ,$40 ,$27 ,$13 
Maine,1988,"$6,826 ","$6,168 ",$522 ,$327 ,$195 ,$482 ,$294 ,$188 ,$40 ,$33 ,$8 
Maine,1989,"$7,015 ","$6,534 ",$538 ,$313 ,$225 ,$486 ,$283 ,$203 ,$52 ,$30 ,$22 
Maine,1990,"$6,884 ","$6,694 ",$556 ,$362 ,$193 ,$509 ,$331 ,$178 ,$47 ,$31 ,$16 
Maine,1991,"$6,672 ","$7,264 ",$594 ,$362 ,$232 ,$536 ,$326 ,$210 ,$58 ,$36 ,$22 
Maine,1992,"$7,374 ","$7,461 ",$557 ,$352 ,$206 ,$505 ,$318 ,$187 ,$52 ,$34 ,$19 
Maine,1993,"$7,485 ","$7,353 ",$535 ,$358 ,$177 ,$490 ,$326 ,$164 ,$45 ,$33 ,$12 
Maine,1994,"$7,641 ","$7,313 ",$526 ,$310 ,$216 ,$480 ,$279 ,$201 ,$46 ,$31 ,$15 
Maine,1995,"$7,707 ","$7,516 ",$557 ,$320 ,$237 ,$495 ,$288 ,$207 ,$62 ,$32 ,$30 
Maine,1996,"$7,685 ","$7,513 ",$610 ,$378 ,$232 ,$545 ,$349 ,$196 ,$66 ,$30 ,$36 
Maine,1997,"$8,917 ","$7,745 ",$607 ,$391 ,$216 ,$537 ,$356 ,$181 ,$70 ,$35 ,$35 
Maine,1998,"$9,547 ","$7,964 ",$568 ,$405 ,$163 ,$536 ,$376 ,$159 ,$32 ,$29 ,$3 
Maine,1999,"$9,403 ","$8,087 ",$595 ,$396 ,$199 ,$549 ,$365 ,$184 ,$46 ,$31 ,$15 
Maine,2000,"$9,535 ","$8,529 ",$638 ,$390 ,$248 ,$559 ,$359 ,$200 ,$78 ,$31 ,$48 
Maine,2002,"$8,431 ","$9,123 ",$649 ,$392 ,$257 ,$558 ,$361 ,$197 ,$91 ,$32 ,$60 
Maine,2004,"$11,157 ","$9,892 ",$687 ,$408 ,$279 ,$580 ,$350 ,$230 ,$107 ,$58 ,$49 
Maine,2005,"$10,833 ","$9,714 ",$671 ,$410 ,$261 ,$595 ,$353 ,$242 ,$77 ,$57 ,$19 
Maine,2006,"$10,551 ","$9,823 ",$733 ,$429 ,$305 ,$666 ,$370 ,$297 ,$67 ,$59 ,$8 
Maine,2007,"$11,120 ","$9,676 ",$647 ,$420 ,$227 ,$575 ,$354 ,$222 ,$72 ,$66 ,$6 
Maine,2008,"$9,066 ","$9,578 ",$610 ,$426 ,$183 ,$542 ,$364 ,$178 ,$67 ,$62 ,$5 
Maine,2009,"$8,151 ","$10,256 ",$664 ,$444 ,$220 ,$593 ,$378 ,$215 ,$71 ,$67 ,$5 
Maine,2010,"$10,632 ","$10,402 ",$709 ,$426 ,$283 ,$640 ,$362 ,$278 ,$68 ,$64 ,$5 
Maine,2011,"$11,422 ","$10,256 ",$752 ,$427 ,$325 ,$670 ,$365 ,$305 ,$82 ,$62 ,$19 
Maine,2012,"$9,460 ","$10,066 ",$715 ,$404 ,$311 ,$632 ,$342 ,$289 ,$83 ,$62 ,$21 
Maine,2013,"$10,263 ","$9,774 ",$712 ,$410 ,$302 ,$627 ,$345 ,$282 ,$85 ,$65 ,$20 
Maine,2014,"$10,902 ","$9,906 ",$679 ,$410 ,$270 ,$608 ,$351 ,$257 ,$71 ,$59 ,$13 
Maine,2015,"$9,764 ","$9,679 ",$732 ,$422 ,$310 ,$648 ,$355 ,$293 ,$84 ,$67 ,$17 
Maine,2016,"$9,790 ","$9,945 ",$782 ,$479 ,$303 ,$672 ,$416 ,$256 ,$110 ,$63 ,$47 
Maine,2017,"$10,806 ","$9,599 ",$739 ,$464 ,$275 ,$643 ,$400 ,$243 ,$96 ,$64 ,$32 
Maryland,1977,"$6,319 ","$6,308 ",$442 ,$135 ,$307 ,$409 ,$124 ,$285 ,$33 ,$11 ,$22 
Maryland,1978,"$6,638 ","$6,251 ",$442 ,$163 ,$280 ,$417 ,$151 ,$265 ,$26 ,$11 ,$14 
Maryland,1979,"$6,452 ","$6,104 ",$438 ,$173 ,$265 ,$423 ,$162 ,$261 ,$15 ,$11 ,$4 
Maryland,1980,"$6,284 ","$6,108 ",$478 ,$165 ,$313 ,$451 ,$153 ,$298 ,$28 ,$13 ,$15 
Maryland,1981,"$6,040 ","$5,839 ",$412 ,$157 ,$255 ,$387 ,$148 ,$239 ,$25 ,$10 ,$15 
Maryland,1982,"$5,978 ","$5,842 ",$501 ,$135 ,$366 ,$477 ,$125 ,$352 ,$24 ,$10 ,$14 
Maryland,1983,"$6,140 ","$6,129 ",$487 ,$187 ,$300 ,$466 ,$178 ,$288 ,$21 ,$10 ,$12 
Maryland,1984,"$6,302 ","$6,023 ",$414 ,$182 ,$233 ,$394 ,$172 ,$222 ,$21 ,$10 ,$11 
Maryland,1985,"$6,636 ","$6,045 ",$485 ,$194 ,$290 ,$462 ,$185 ,$276 ,$23 ,$9 ,$14 
Maryland,1986,"$7,219 ","$6,463 ",$534 ,$204 ,$330 ,$448 ,$193 ,$255 ,$86 ,$11 ,$75 
Maryland,1987,"$7,332 ","$6,610 ",$553 ,$212 ,$341 ,$522 ,$201 ,$322 ,$31 ,$11 ,$20 
Maryland,1988,"$8,022 ","$6,758 ",$614 ,$215 ,$399 ,$572 ,$204 ,$368 ,$42 ,$11 ,$31 
Maryland,1989,"$7,576 ","$6,897 ",$612 ,$217 ,$396 ,$556 ,$205 ,$351 ,$56 ,$11 ,$45 
Maryland,1990,"$7,630 ","$7,294 ",$589 ,$225 ,$365 ,$546 ,$212 ,$334 ,$44 ,$13 ,$31 
Maryland,1991,"$7,375 ","$7,568 ",$529 ,$196 ,$333 ,$504 ,$184 ,$320 ,$25 ,$12 ,$12 
Maryland,1992,"$7,650 ","$7,323 ",$396 ,$191 ,$205 ,$368 ,$180 ,$188 ,$28 ,$12 ,$16 
Maryland,1993,"$7,950 ","$7,241 ",$368 ,$183 ,$185 ,$344 ,$171 ,$173 ,$24 ,$12 ,$12 
Maryland,1994,"$8,018 ","$7,470 ",$376 ,$207 ,$169 ,$352 ,$196 ,$156 ,$24 ,$11 ,$13 
Maryland,1995,"$8,090 ","$7,633 ",$399 ,$210 ,$189 ,$373 ,$198 ,$175 ,$26 ,$11 ,$14 
Maryland,1996,"$7,898 ","$7,552 ",$399 ,$218 ,$182 ,$367 ,$206 ,$160 ,$33 ,$12 ,$21 
Maryland,1997,"$9,144 ","$7,664 ",$416 ,$209 ,$207 ,$387 ,$198 ,$189 ,$29 ,$11 ,$18 
Maryland,1998,"$9,222 ","$7,643 ",$395 ,$193 ,$203 ,$370 ,$182 ,$188 ,$25 ,$11 ,$14 
Maryland,1999,"$8,755 ","$7,824 ",$412 ,$205 ,$207 ,$382 ,$194 ,$189 ,$29 ,$11 ,$18 
Maryland,2000,"$9,099 ","$8,201 ",$399 ,$211 ,$188 ,$374 ,$199 ,$174 ,$25 ,$11 ,$13 
Maryland,2002,"$8,382 ","$8,948 ",$465 ,$214 ,$251 ,$437 ,$199 ,$239 ,$27 ,$15 ,$12 
Maryland,2004,"$10,388 ","$8,986 ",$454 ,$226 ,$228 ,$405 ,$199 ,$206 ,$49 ,$27 ,$22 
Maryland,2005,"$10,116 ","$9,285 ",$507 ,$253 ,$253 ,$460 ,$225 ,$235 ,$47 ,$28 ,$18 
Maryland,2006,"$10,434 ","$9,567 ",$525 ,$247 ,$279 ,$472 ,$221 ,$250 ,$53 ,$25 ,$28 
