State,Count_All,Count_Good,Count_Fair,Count_Poor,Area_All,Area_Good,Area_Fair,Area_Poor
ALABAMA,16130,6838,8603,689,9760735,3661978,5851785,246971
ALASKA,1592,711,725,155,743788,298515,385915,59158
ARIZONA,8294,5068,3076,150,5846176,3169212,2581507,95457
ARKANSAS,12892,6816,5488,588,6708589,3475609,2919170,313811
CALIFORNIA,25737,14779,9146,1812,30067631,17623112,10442456,2002063
COLORADO,8786,3694,4618,473,5024622,2359789,2457413,207344
CONNECTICUT,4270,1238,2724,308,3414833,600502,2406635,407696
DELAWARE,863,195,634,34,1000357,141858,800016,58483
DIST. OF COL.,244,62,174,8,569296,75891,470820,22586
FLORIDA,12435,8389,3717,328,17516213,11658699,5575956,280394
GEORGIA,14879,6303,8082,494,10082064,4640184,5205927,235953
HAWAII,1137,355,704,78,1324180,326663,968926,28592
IDAHO,4482,1259,2907,315,1756871,442282,1229647,84873
ILLINOIS,26809,13438,11098,2273,13524885,5027056,6999849,1497979
INDIANA,19280,7959,10114,1203,8197646,3735606,4134643,325675
IOWA,24123,9180,10263,4675,8806907,4044915,3872593,888963
KANSAS,24906,13594,10024,1288,8680998,5693563,2743165,244271
KENTUCKY,14368,5239,8111,1016,6509802,2480985,3717280,310678
LOUISIANA,12899,6484,4733,1678,16587147,7752468,7449875,1384201
MAINE,2473,786,1362,325,1264519,451266,708474,104779
MARYLAND,5357,1757,3326,274,5426511,1602956,3648777,174778
MASSACHUSETTS,5215,1370,3364,481,4119863,869419,2766279,484164
MICHIGAN,11228,4479,5548,1196,6445678,2281475,3564054,599552
MINNESOTA,13358,8259,4431,668,7132639,3859452,3022860,250327
MISSISSIPPI,17071,10711,4757,1603,9940070,6504401,3019248,416420
MISSOURI,24512,10579,11817,2116,10701764,4325670,5466291,909803
MONTANA,5265,1605,3270,390,2084807,459891,1463582,161334
NEBRASKA,15349,7985,6003,1358,4340537,2586969,1528921,224124
NEVADA,1979,978,974,27,1791492,838231,939426,13835
NEW HAMPSHIRE,2494,1323,947,224,1130225,631927,404980,93318
NEW JERSEY,6746,1819,4383,544,7002430,1654510,4852975,494945
NEW MEXICO,4010,1519,2259,232,2080960,750052,1230457,100451
NEW YORK,17521,6400,9364,1757,13089606,3596940,8164313,1328353
NORTH CAROLINA,18377,7186,9313,1871,9994006,4051533,5028174,910169
NORTH DAKOTA,4355,2341,1545,469,1320937,770811,482267,67859
OHIO,27277,15974,9785,1518,13956582,8043801,5430710,482071
OKLAHOMA,23116,10304,10268,2540,8738610,4203648,3991370,542486
OREGON,8161,2881,4858,422,5060329,1043269,3829407,187653
PENNSYLVANIA,22737,6985,11979,3770,13945241,3817119,8956109,1170852
RHODE ISLAND,780,134,466,180,793527,109894,493870,189763
SOUTH CAROLINA,9401,4225,4381,795,6985851,3191638,3339881,454332
SOUTH DAKOTA,5824,1906,2945,973,1803770,517279,1142586,143905
TENNESSEE,20177,9221,10084,871,10275911,4306805,5561752,407294
TEXAS,54131,28020,25411,695,50368715,26200337,23665660,502093
UTAH,3061,1659,1336,66,1948005,1013841,919942,14222
VERMONT,2778,1473,1239,66,884043,451405,404534,28104
VIRGINIA,13931,4786,8499,646,10125635,3560099,6146720,418815
WASHINGTON,8278,4317,3579,382,7224042,2790592,3893877,539572
WEST VIRGINIA,7269,1978,3844,1444,3811742,743138,2535381,532829
WISCONSIN,14275,7383,5838,1054,7006791,3677689,3034479,294623
WYOMING,3129,926,1946,257,1339545,317802,900448,121296
GUAM,10,2,6,2,789,133,485,171
PUERTO RICO,2325,444,1608,273,2180690,459866,1525035,195789
TOTALS,616096,283316,285676,47054,390438601,176892746,192276900,21255232
