ID,Year,State,Count_All,Count_Good,Count_Fair,Count_Poor,Area_All,Area_Good,Area_Fair,Area_Poor,Percentage_Good,Percentage_Fair,Percentage_Poor,Area_Percentage_Good,Area_Percentage_Fair,Area_Percentage_Poor,Total_Tunnel ,Tunnel_Condition_Good,Tunnel_Condtion_Fair,Tunnel_Condition_Poor,Tunnel_Condition_Severe,Tunnel_Percentage_Good,Tunnel_Percentage_Fair,Tunnel_Percentage_Poor,Tunnel_Percentage_Severe,Road_Total,Road_Not_Reported,Road_Road_Good_below95,Road_Fair_95to170,Road_Poor_above170,Road_NotReported_Percentage,Road_Good_Percentage,Road_Fair_Percentage,Road_Poor_Percentage
27,2009,MONTANA,4986,2138,2565,259,1915336,794176,1055055,63353,0.428800642,0.514440433,0.051945447,0.414640564,0.550845909,0.033076703,,,,,,,,,,,,,,,,,,
28,2009,NEBRASKA,15436,8095,5310,2011,3839256,2386219,1148724,302748,0.524423426,0.344001037,0.130279865,0.62153162,0.299204846,0.078855903,,,,,,,,,,,,,,,,,,
29,2009,NEVADA,1749,1099,611,39,1338420,796480,523650,18290,0.628359062,0.349342481,0.022298456,0.595089733,0.391244901,0.013665367,,,,,,,,,,,,,,,,,,
30,2009,NEW HAMPSHIRE,2403,1236,921,246,1083163,596452,382063,104648,0.514357054,0.383270911,0.102372035,0.550657657,0.352728998,0.096613344,,,,,,,,,,,,,,,,,,
31,2009,NEW JERSEY,6486,2104,3722,660,6552169,1853492,4063592,635085,0.324390996,0.573851372,0.101757632,0.282882203,0.620190352,0.096927445,,,,,,,,,,,,,,,,,,
32,2009,NEW MEXICO,3890,1379,2146,364,1629462,633702,840922,154780,0.354498715,0.551670951,0.093573265,0.388902595,0.516073403,0.094988407,,,,,,,,,,,,,,,,,,
33,2009,NEW YORK,17372,6567,8647,2154,12622307,3556245,7425790,1639092,0.378022105,0.497755008,0.123992632,0.28174287,0.588306876,0.129856769,,,,,,,,,,,,,,,,,,
34,2009,NORTH CAROLINA,18007,7402,8614,1981,8396170,3446905,3974578,971638,0.411062365,0.478369523,0.110012773,0.410533017,0.473379886,0.115723955,,,,,,,,,,,,,,,,,,
35,2009,NORTH DAKOTA,4437,2387,1536,513,1187889,720338,381671,85880,0.53797611,0.346179851,0.115618661,0.606401777,0.321301906,0.072296317,,,,,,,,,,,,,,,,,,
36,2009,OHIO,28120,13371,11926,2750,13030929,5217516,6731005,1021989,0.475497866,0.424110953,0.097795164,0.400394784,0.516540686,0.078427946,,,,,,,,,,,,,,,,,,
37,2009,OKLAHOMA,23716,9421,10133,4148,8134618,3495187,3464446,1162256,0.397242368,0.427264294,0.174903019,0.42966824,0.425889206,0.14287776,,,,,,,,,,,,,,,,,,
38,2009,OREGON,7215,3104,3659,447,4723073,1523978,2852857,345757,0.43021483,0.507137907,0.061954262,0.32266662,0.604025599,0.07320594,,,,,,,,,,,,,,,,,,
39,2009,PENNSYLVANIA,22293,5142,11002,6120,12335465,2880288,6865493,2560841,0.230655363,0.493518145,0.274525636,0.233496508,0.556565399,0.207599876,,,,,,,,,,,,,,,,,,
40,2009,RHODE ISLAND,739,104,472,162,729973,50670,482160,196782,0.140730717,0.638700947,0.219215156,0.069413526,0.660517581,0.269574354,,,,,,,,,,,,,,,,,,
41,2009,SOUTH CAROLINA,9253,4477,3695,1081,6438262,3406040,2477196,555026,0.483843078,0.399329947,0.116826975,0.529030971,0.384761602,0.086207427,,,,,,,,,,,,,,,,,,
42,2009,SOUTH DAKOTA,5920,1871,2966,1083,1674445,446886,1033864,193695,0.316047297,0.501013514,0.182939189,0.266886043,0.617436822,0.115677135,,,,,,,,,,,,,,,,,,
43,2009,TENNESSEE,19939,9751,9015,1156,9070095,4151851,4391690,525552,0.489041577,0.452128993,0.057976829,0.457751655,0.484194487,0.057943384,,,,,,,,,,,,,,,,,,
