State,Count_All,Count_Good,Count_Fair,Count_Poor,Area_All,Area_Good,Area_Fair,Area_Poor
ALABAMA,16129,6899,8497,733,9207383,3498240,5458713,250430
ALASKA,1569,689,715,163,725363,284845,379832,60538
ARIZONA,8289,5052,3069,167,5151663,2592826,2446441,112396
ARKANSAS,12864,6915,5362,587,6377740,3165687,2808335,403717
CALIFORNIA,25657,16586,7676,1395,29699888,19362087,8700310,1637490
COLORADO,8717,3785,4481,448,5043659,2495142,2338493,209748
CONNECTICUT,4238,1255,2654,329,3322219,663034,2215253,443932
DELAWARE,879,227,613,39,980591,146752,775365,58474
DIST. OF COL.,245,64,173,8,570789,80393,463112,27285
FLORIDA,12355,8482,3625,247,16976405,11395537,5326203,253500
GEORGIA,14863,6545,7781,537,9485343,4464000,4763439,257903
HAWAII,1135,428,642,65,1320446,356706,944069,19671
IDAHO,4492,1270,2880,341,1748545,457776,1206246,84455
ILLINOIS,26775,13536,11015,2224,13091565,5010213,6725114,1356238
INDIANA,19291,7948,9972,1368,8119288,3711966,3968447,437194
IOWA,24215,9096,10304,4805,8277421,3678671,3709516,888439
KANSAS,25001,13687,9885,1429,8280831,5417909,2604259,258663
KENTUCKY,14280,5361,7903,1014,6083768,2327849,3447374,307687
LOUISIANA,12910,6558,4699,1649,16413320,7659900,7422691,1330125
MAINE,2458,776,1359,323,1220750,470792,653992,95966
MARYLAND,5335,1772,3275,288,5160901,1509101,3476784,175016
MASSACHUSETTS,5192,1400,3316,473,4078753,891298,2596750,590249
MICHIGAN,11180,4605,5424,1146,6374178,2351097,3474397,547983
MINNESOTA,13329,8419,4204,706,6497340,3673454,2605244,218642
MISSISSIPPI,17072,10987,4635,1432,9382208,6130251,2862816,387639
MISSOURI,24487,10812,11595,2080,10401265,4378951,5139636,882677
MONTANA,5302,1694,3181,427,2013880,496791,1347964,169124
NEBRASKA,15330,7885,6006,1435,4007227,2304989,1476011,225642
NEVADA,1944,958,960,26,1609549,745281,851284,12984
NEW HAMPSHIRE,2479,1326,930,223,1122819,636613,394944,91262
NEW JERSEY,6737,1851,4330,556,6921627,1665266,4727915,528446
NEW MEXICO,3999,1541,2215,243,1696984,629095,971217,96672
NEW YORK,17456,6360,9313,1771,12870778,3434021,8056464,1369029
NORTH CAROLINA,18183,7466,8907,1803,9273649,3879012,4507066,883441
NORTH DAKOTA,4377,2343,1546,488,1228730,704274,459123,65333
OHIO,27345,15858,9888,1598,13391034,7733118,5162174,495610
OKLAHOMA,23071,10438,9947,2684,8382718,4041989,3743144,597121
OREGON,8147,2955,4778,414,5030363,1112932,3738465,178967
PENNSYLVANIA,22779,6760,11871,4147,12403798,3520514,7654383,1228374
RHODE ISLAND,778,131,466,181,799588,130368,484090,185131
SOUTH CAROLINA,9341,4265,4295,781,6796044,3147523,3219195,429326
SOUTH DAKOTA,5818,1888,2927,1003,1665379,413323,1105011,147045
TENNESSEE,20169,9714,9564,889,9731932,4148857,5103802,479052
TEXAS,53869,28219,25017,632,47928260,24928415,22548318,451467
UTAH,3051,1722,1248,81,1871580,1005503,845073,21003
VERMONT,2772,1476,1219,77,854371,420104,401389,32878
VIRGINIA,13932,4831,8328,773,9679909,3406117,5830335,443457
WASHINGTON,8233,4339,3528,366,7149525,2766771,3884539,498216
WEST VIRGINIA,7228,2232,3645,1351,3734304,822503,2400992,510809
WISCONSIN,14253,7364,5777,1112,6759890,3559295,2905965,294630
WYOMING,3127,814,2022,291,1281937,199335,934412,148190
PUERTO RICO,2325,446,1608,271,2164787,458254,1501706,204827
TOTALS,615002,288030,279270,47619,374362285,172484743,180767814,21084089
