State,Count_All,Count_Good,Count_Fair,Count_Poor,Area_All,Area_Good,Area_Fair,Area_Poor
 ALABAMA ,16088,7210,8095,783,9106533,3716215,5123841,266477
 ALASKA ,1544,718,673,150,706252,298050,332405,75540
 ARIZONA ,8035,4860,2952,223,4965164,2480124,2289071,195969
 ARKANSAS ,12806,7016,5183,607,6108972,3083705,2709626,315641
 CALIFORNIA ,25406,11104,11913,2388,28955537,10382961,15276920,3241083
 COLORADO ,8668,4022,4174,470,4877734,2617998,2029663,229908
 CONNECTICUT ,4218,1363,2479,376,3275350,622910,2055939,596502
 DELAWARE ,865,268,549,48,965247,174471,736219,54557
 DIST. OF COL. ,253,67,172,14,558645,87693,431303,39649
 FLORIDA ,12137,8575,3342,219,16358157,11159400,4831230,366363
 GEORGIA ,14795,7051,7122,622,9196105,4658645,4279586,257874
 HAWAII ,1137,486,581,59,1389453,417881,879437,18605
 IDAHO ,4431,1238,2829,364,1690301,404520,1165731,120049
 ILLINOIS ,26588,14698,9776,2114,12862066,5366291,6246625,1249149
 INDIANA ,19019,7813,9408,1796,7753038,3328130,3810984,613077
 IOWA ,24300,9396,10204,4691,8152321,3613575,3665392,867977
 KANSAS ,25085,13995,9458,1631,8129881,5508772,2350597,270451
 KENTUCKY ,14194,5719,7407,1066,5929697,2455839,3196177,276928
 LOUISIANA ,12982,6833,4536,1609,16374497,8136413,6744716,1492560
 MAINE ,2419,766,1306,346,1208666,462022,627327,114026
 MARYLAND ,5305,1809,3191,305,5103371,1462757,3464383,176231
 MASSACHUSETTS ,5141,1500,3195,446,4027932,949485,2561300,517147
 MICHIGAN ,11072,4718,5093,1251,6291870,2337133,3397291,554313
 MINNESOTA ,12961,8088,4062,802,6171889,3418338,2449899,297085
 MISSISSIPPI ,17091,11180,4304,1604,8907029,6047341,2437735,421134
 MISSOURI ,24385,11451,10855,2079,10288406,4749078,4705429,833900
 MONTANA ,5251,2034,2933,284,1984553,626217,1218367,139970
 NEBRASKA ,15374,7944,5687,1731,3952000,2359697,1339741,251421
 NEVADA ,1898,1078,790,30,1577345,907317,655786,14242
 NEW HAMPSHIRE ,2467,1312,895,260,1105496,619410,390566,95520
 NEW JERSEY ,6609,1909,4130,570,6707844,1635068,4499048,573728
 NEW MEXICO ,3951,1461,2217,273,1704528,624058,977564,102906
 NEW YORK ,17456,6397,9070,1989,12760066,3437169,7745112,1577784
 NORTH CAROLINA ,18117,8003,7917,2187,9134125,4346347,3804882,972966
 NORTH DAKOTA ,4429,2314,1603,512,1229050,689169,474944,64936
 OHIO ,26986,14548,10370,2017,13416336,6549278,5995019,739901
 OKLAHOMA ,23147,10696,9009,3440,8288085,4032965,3414629,840027
 OREGON ,8052,3247,4399,403,4946691,1270354,3479227,196735
 PENNSYLVANIA ,22691,6185,11532,4969,12293187,3339216,7384232,1568796
 RHODE ISLAND ,766,138,455,173,782360,134672,485632,162056
 SOUTH CAROLINA ,9338,4245,4216,877,6732731,3208579,3044815,479337
 SOUTH DAKOTA ,5872,1907,2897,1068,1665814,412829,1071793,181192
 TENNESSEE ,20077,9925,9147,1002,9521993,4137015,4920899,463798
 TEXAS ,52937,28058,23804,812,45630872,24038233,20327749,673532
 UTAH ,3014,1745,1177,92,1910929,1092271,790796,27862
 VERMONT ,2745,1396,1217,132,848689,425441,377969,45279
 VIRGINIA ,13800,4783,7984,1033,9396738,3368841,5565760,462137
 WASHINGTON ,8120,4324,3443,353,6855656,2734579,3581916,539161
 WEST VIRGINIA ,7187,3372,2893,922,3763593,1508423,1978347,276823
 WISCONSIN ,14109,7587,5479,1043,6513933,3302774,2938919,272240
 WYOMING ,3127,711,2020,396,1253803,148883,911391,193529
 PUERTO RICO ,2304,438,1591,274,2212243,528342,1435717,248046
 TOTALS ,610749,287701,269734,52905,365542771,163416898,176609648,24626117
