State,Count_All,Count_Good,Count_Fair,Count_Poor,Area_All,Area_Good,Area_Fair,Area_Poor
ALABAMA,16098,7040,8338,720,9238041,3655465,5329991,252585
ALASKA,1488,644,702,141,710704,272581,378038,60040
ARIZONA,8154,4931,3042,181,5055871,2531160,2382734,141977
ARKANSAS,12871,6984,5291,596,6381829,3181917,2786039,413873
CALIFORNIA,25431,16788,7439,1204,29478068,18644074,9141389,1692605
COLORADO,8682,3861,4364,455,4928137,2510935,2196537,220495
CONNECTICUT,4214,1250,2628,336,3265917,598052,2211627,456237
DELAWARE,877,267,567,43,978596,164793,761239,52565
DIST. OF COL.,245,67,169,9,568827,86987,453801,28039
FLORIDA,12313,8534,3545,233,16759416,11232342,5149876,376033
GEORGIA,14835,7021,7275,539,9404058,4729225,4440092,234742
HAWAII,1132,436,634,62,1319917,358370,942557,18989
IDAHO,4445,1218,2867,360,1723199,440164,1175413,107622
ILLINOIS,26704,13815,10732,2157,13004417,5122813,6534662,1346942
INDIANA,19245,7876,9902,1464,7997458,3555887,3970859,469032
IOWA,24184,9182,10300,4671,8248470,3670682,3719124,856322
KANSAS,25013,13890,9664,1458,8192549,5406322,2545021,241147
KENTUCKY,14265,5471,7733,1059,6053639,2368980,3335062,348738
LOUISIANA,12915,6647,4730,1534,16387706,7876622,7021946,1488330
MAINE,2450,774,1337,339,1217856,464261,648569,105027
MARYLAND,5321,1782,3242,297,5155225,1489367,3486651,179207
MASSACHUSETTS,5171,1409,3294,468,4055694,888577,2572176,594941
MICHIGAN,11156,4674,5274,1202,6357402,2391519,3395873,569394
MINNESOTA,13355,8431,4144,776,6455617,3707646,2447826,298304
MISSISSIPPI,17068,11104,4480,1479,9093624,5911845,2776915,404221
MISSOURI,24468,11009,11335,2124,10361960,4446311,5047221,868429
MONTANA,5276,1841,3066,369,2000704,568632,1273332,158739
NEBRASKA,15334,7899,5945,1478,3969666,2275543,1459582,233401
NEVADA,1933,981,925,27,1595544,768109,815529,11906
NEW HAMPSHIRE,2486,1321,916,249,1120426,633143,385777,101506
NEW JERSEY,6730,1882,4280,568,6878063,1692627,4655124,530312
NEW MEXICO,3973,1511,2212,250,1728339,667164,968523,92652
NEW YORK,17462,6215,9342,1884,12869629,3305860,8103332,1448499
NORTH CAROLINA,18099,7764,8564,1764,9221998,4185933,4190659,841275
NORTH DAKOTA,4400,2323,1567,509,1232040,693676,465871,72388
OHIO,28284,15957,10445,1882,13317571,7327592,5435717,554262
OKLAHOMA,23053,10900,9273,2877,8350749,4158923,3496916,694269
OREGON,8118,3063,4655,398,5017158,1168751,3677492,170627
PENNSYLVANIA,22791,6539,11821,4430,12377123,3453038,7597766,1325791
RHODE ISLAND,772,128,452,192,786182,124630,464259,197294
SOUTH CAROLINA,9358,4256,4276,826,6800337,3218877,3156739,424721
SOUTH DAKOTA,5849,1879,2915,1055,1664937,399380,1089217,176339
TENNESSEE,20123,9990,9207,924,9659962,4347862,4838725,473155
TEXAS,53488,28168,24667,653,47253739,25040038,21691402,522299
UTAH,3039,1760,1191,88,1922456,1080203,817734,24519
VERMONT,2766,1458,1225,83,853120,419485,398780,34855
VIRGINIA,13892,4857,8154,881,9620709,3379558,5792054,449097
WASHINGTON,8178,4337,3477,364,6890270,2716859,3582779,590633
WEST VIRGINIA,7217,2641,3353,1222,3805060,1077213,2310910,416833
WISCONSIN,14230,7413,5725,1092,6706707,3524686,2849283,332738
WYOMING,3128,780,2029,319,1269969,177613,940085,152270
PUERTO RICO,2308,444,1596,268,2157266,472465,1456118,228682
TOTALS,614387,291412,274306,48559,371463919,172584754,176764943,22084898
