State,Count_All,Count_Good,Count_Fair,Count_Poor,Area_All,Area_Good,Area_Fair,Area_Poor
 ALABAMA ,16078,7239,8039,800,9072109,3734094,5066809,271206
 ALASKA ,1196,538,526,131,668953,273896,322205,72799
 ARIZONA ,7862,4959,2696,207,4857523,2477040,2193159,187325
 ARKANSAS ,12748,7003,5127,618,6181639,3194303,2660255,327081
 CALIFORNIA ,24955,10607,11679,2669,28397676,9426789,15021550,3949336
 COLORADO ,8612,4169,3972,469,4808599,2626103,1955975,226307
 CONNECTICUT ,4218,1417,2395,406,3291651,656573,1990386,644692
 DELAWARE ,864,280,528,56,962618,247103,655528,59987
 DIST. OF COL. ,252,62,169,21,563541,78619,406615,78307
 FLORIDA ,12070,8589,3241,238,16066813,11150814,4547274,367442
 GEORGIA ,14769,7183,6925,661,9172250,4833942,4074111,264197
 HAWAII ,1125,328,722,75,1314136,293854,997253,23029
 IDAHO ,4232,1135,2736,359,1670346,391787,1157967,120536
 ILLINOIS ,26621,15133,9291,2172,12756290,5555584,5913038,1276412
 INDIANA ,18953,7887,9232,1833,7710036,3341385,3719838,648695
 IOWA ,24398,9579,10134,4665,8057618,3610959,3595001,846984
 KANSAS ,25171,14111,9340,1718,8141442,5576779,2284204,280341
 KENTUCKY ,14116,5694,7326,1095,5880096,2426540,3086990,366031
 LOUISIANA ,13050,6932,4514,1597,16022497,8070601,6510258,1440272
 MAINE ,2402,762,1291,349,1207094,472675,600629,133790
 MARYLAND ,5291,1824,3148,319,5083217,1457640,3441968,183609
 MASSACHUSETTS ,5136,1512,3153,469,4050788,958276,2512036,579659
 MICHIGAN ,11022,4714,5041,1256,6274311,2386520,3346366,538383
 MINNESOTA ,13137,8136,3957,1043,6153862,3419524,2424237,309898
 MISSISSIPPI ,17044,11157,4278,1600,8823379,6050567,2363100,408220
 MISSOURI ,24350,11834,10557,1959,10250819,4779458,4634922,836440
 MONTANA ,5126,1958,2914,253,1971369,636414,1223161,110786
 NEBRASKA ,15370,8062,5482,1808,3910425,2357989,1279942,270872
 NEVADA ,1853,1159,663,31,1558332,947723,597136,13474
 NEW HAMPSHIRE ,2438,1307,877,254,1099451,621220,384523,93707
 NEW JERSEY ,6566,1998,3992,576,6669022,1666049,4322263,680710
 NEW MEXICO ,3935,1440,2208,287,1736625,639913,982637,114076
 NEW YORK ,17442,6429,8955,2057,12758149,3469748,7621821,1666310
 NORTH CAROLINA ,18168,7827,8035,2292,8967236,4156548,3777005,1022686
 NORTH DAKOTA ,4439,2329,1583,525,1229786,720992,438981,69737
 OHIO ,27015,14089,10670,2166,13411198,6108201,6312625,838474
 OKLAHOMA ,22912,10408,9065,3437,8282210,3932988,3450502,898256
 OREGON ,7656,3093,4165,396,4886278,1262462,3398634,224893
 PENNSYLVANIA ,22660,6029,11498,5132,12498891,3151086,7680711,1666565
 RHODE ISLAND ,766,141,458,167,780819,150558,478556,151705
 SOUTH CAROLINA ,9275,4201,4177,897,6592414,3106656,2988746,497012
 SOUTH DAKOTA ,5875,1882,2886,1107,1661593,397397,1070074,194121
 TENNESSEE ,20058,10095,8893,1067,9460965,4272682,4694113,493889
 TEXAS ,52561,28122,23518,920,44732496,23835649,20227341,669506
 UTAH ,2974,1727,1140,107,1901763,1109848,760150,31764
 VERMONT ,2731,1396,1189,146,845943,420099,375115,50729
 VIRGINIA ,13765,4813,7884,1068,9377546,3403984,5457970,515593
 WASHINGTON ,7902,4179,3373,350,6967018,2656360,3709274,601384
 WEST VIRGINIA ,7125,3380,2842,903,3699838,1483423,1932474,283940
 WISCONSIN ,14088,7566,5470,1052,6517870,3308866,2854393,354612
 WYOMING ,3099,734,1946,419,1250112,159659,884782,205672
 PUERTO RICO ,2280,433,1556,290,2221352,565710,1436386,219118
 TOTALS ,607751,287581,265456,54492,362428004,162033650,173820990,26380569
