State,Count_All,Count_Good,Count_Fair,Count_Poor,Area_All,Area_Good,Area_Fair,Area_Poor
 ALABAMA ,16070,7320,7900,850,8985363,3717955,5005293,262115
 ALASKA ,1173,528,518,124,658950,266633,323524,68497
 ARIZONA ,7835,5163,2453,218,4845663,2604684,2029887,210817
 ARKANSAS ,12696,7076,4997,621,6159353,3299394,2553162,305777
 CALIFORNIA ,24812,10460,11490,2862,28081411,8969774,14716442,4395195
 COLORADO ,8591,4275,3817,499,4769085,2606491,1912227,250367
 CONNECTICUT ,4208,1420,2388,400,3290172,680345,2063941,545886
 DELAWARE ,862,286,523,53,942620,225509,676663,40448
 DIST. OF COL. ,239,39,170,30,538596,36395,404649,97552
 FLORIDA ,11982,8535,3202,243,15897095,11157618,4291915,446280
 GEORGIA ,14739,7292,6767,680,9099922,5055381,3775796,268745
 HAWAII ,1131,347,712,72,1313634,306144,984599,22892
 IDAHO ,4214,1133,2721,360,1639123,356293,1162427,120403
 ILLINOIS ,26514,15242,9067,2200,12703301,5727541,5716441,1258231
 INDIANA ,18789,7763,9111,1913,7524222,3113139,3656217,754645
 IOWA ,24496,9568,10134,4774,8018713,3598862,3556851,860514
 KANSAS ,25176,14170,9227,1778,8089654,5582550,2212464,294579
 KENTUCKY ,14031,5754,7173,1103,5858993,2476608,3004573,377277
 LOUISIANA ,13175,7164,4463,1506,15839239,7829116,6003615,1453874
 MAINE ,2408,775,1294,338,1205832,469726,597082,138422
 MARYLAND ,5294,1842,3103,349,5070918,1527411,3307691,235816
 MASSACHUSETTS ,5120,1518,3126,474,4035412,979144,2448019,607433
 MICHIGAN ,11000,4665,5020,1307,6216299,2307568,3344821,562938
 MINNESOTA ,13121,8027,3948,1146,6135192,3501716,2268428,365049
 MISSISSIPPI ,17061,11156,4218,1682,8759007,6047988,2276334,434087
 MISSOURI ,24334,12120,10213,2001,10240360,4896125,4418530,925704
 MONTANA ,5120,1978,2881,261,1952228,659436,1174786,118005
 NEBRASKA ,15393,8071,5487,1813,3883237,2333469,1291810,255894
 NEVADA ,1798,1152,613,33,1432367,914136,503754,14477
 NEW HAMPSHIRE ,2429,1289,890,250,1087628,600304,382837,104487
 NEW JERSEY ,6554,2000,3952,602,6559741,1699672,4164255,695813
 NEW MEXICO ,3924,1420,2208,296,1689108,644252,921497,123359
 NEW YORK ,17420,6433,8850,2132,12717760,3501267,7486831,1727929
 NORTH CAROLINA ,18165,7623,8353,2173,8873890,3872635,4089854,899515
 NORTH DAKOTA ,4453,2340,1581,530,1225928,716253,440824,68850
 OHIO ,27045,13641,10995,2364,13348244,5756524,6511055,971564
 OKLAHOMA ,23781,10114,9163,4477,8283934,3858720,3384957,1037301
 OREGON ,7633,3129,4105,399,4861870,1333486,3309508,218876
 PENNSYLVANIA ,22669,5831,11389,5445,12487161,3115192,7428043,1943064
 RHODE ISLAND ,757,131,470,156,775400,122793,478847,173760
 SOUTH CAROLINA ,9271,4241,4047,983,6571218,3117351,2919064,534803
 SOUTH DAKOTA ,5870,1880,2895,1095,1662716,408048,1072828,181840
 TENNESSEE ,19985,10025,8856,1102,9318680,4213964,4614422,490077
 TEXAS ,52260,28062,23187,974,43680940,23333455,19523029,698224
 UTAH ,2947,1695,1137,115,1843134,1060406,747093,35634
 VERMONT ,2727,1346,1204,177,844764,399165,385139,60461
 VIRGINIA ,13769,4805,7811,1151,9275725,3234139,5410843,547960
 WASHINGTON ,7840,4145,3349,345,6934653,2624481,3690034,620138
 WEST VIRGINIA ,7093,3409,2774,910,3534957,1398977,1842923,293057
 WISCONSIN ,14057,7632,5413,1012,6455677,3252691,2845979,357008
 WYOMING ,3101,742,1962,397,1246462,174528,879766,192167
 PUERTO RICO ,2248,422,1551,274,2081522,442147,1414387,224850
 TOTALS ,607380,287194,262878,57049,358547072,160127599,169625957,27892654
