State,Count_All,Count_Good,Count_Fair,Count_Poor,Area_All,Area_Good,Area_Fair,Area_Poor
ALABAMA,15959,7637,7384,934,9176079,3991613,4892783,290431
ALASKA,1151,518,496,135,657173,284249,314174,58564
ARIZONA,7494,5274,2030,189,4685761,2826369,1697404,161735
ARKANSAS,12560,7113,4809,638,5927762,3211634,2353584,362545
CALIFORNIA,24463,10275,10833,3258,27743006,8596833,13556904,5550592
COLORADO,8476,4454,3487,517,4592276,2593738,1688843,307037
CONNECTICUT,4186,1534,2272,380,3264103,860506,1994123,409474
DELAWARE,862,349,476,37,936030,372198,486033,77799
DIST. OF COL.,246,70,153,23,529850,71631,391332,66887
FLORIDA,11803,8382,3127,291,15552236,11013253,4084364,453320
GEORGIA,14710,7456,6521,731,8782739,4964413,3534960,282910
HAWAII,1133,389,659,85,1321814,376003,920392,25420
IDAHO,4100,1282,2471,338,1582099,369709,1067786,143984
ILLINOIS,26263,15625,8323,2293,12517414,5795465,5575381,1129030
INDIANA,18546,8233,8515,1795,7656118,3495217,3412462,747901
IOWA,24799,10040,9876,4871,7885297,3637068,3228054,1017839
KANSAS,25546,14045,9419,2069,7968545,5412510,2144056,398760
KENTUCKY,13731,6020,6448,1233,5496296,2468417,2511996,486454
LOUISIANA,13328,7092,4760,1467,15202451,7582498,6375988,1241625
MAINE,2394,796,1237,361,1200744,470771,579907,150066
MARYLAND,5184,1843,2974,353,4796454,1254692,3262880,197873
MASSACHUSETTS,5038,1554,2905,577,3745746,839116,2300665,605777
MICHIGAN,10906,4479,4892,1533,6151207,2095730,3199280,855873
MINNESOTA,13131,8166,3807,1155,6117722,3578003,2203464,333503
MISSISSIPPI,17038,11273,3746,2016,8354986,6206347,1678010,470239
MISSOURI,24156,11618,10181,2357,9890791,4722960,4218885,948945
MONTANA,4986,2138,2565,259,1915336,794176,1055055,63353
NEBRASKA,15436,8095,5310,2011,3839256,2386219,1148724,302748
NEVADA,1749,1099,611,39,1338420,796480,523650,18290
NEW HAMPSHIRE,2403,1236,921,246,1083163,596452,382063,104648
NEW JERSEY,6486,2104,3722,660,6552169,1853492,4063592,635085
NEW MEXICO,3890,1379,2146,364,1629462,633702,840922,154780
NEW YORK,17372,6567,8647,2154,12622307,3556245,7425790,1639092
NORTH CAROLINA,18007,7402,8614,1981,8396170,3446905,3974578,971638
NORTH DAKOTA,4437,2387,1536,513,1187889,720338,381671,85880
OHIO,28120,13371,11926,2750,13030929,5217516,6731005,1021989
OKLAHOMA,23716,9421,10133,4148,8134618,3495187,3464446,1162256
OREGON,7215,3104,3659,447,4723073,1523978,2852857,345757
PENNSYLVANIA,22293,5142,11002,6120,12335465,2880288,6865493,2560841
RHODE ISLAND,739,104,472,162,729973,50670,482160,196782
SOUTH CAROLINA,9253,4477,3695,1081,6438262,3406040,2477196,555026
SOUTH DAKOTA,5920,1871,2966,1083,1674445,446886,1033864,193695
TENNESSEE,19939,9751,9015,1156,9070095,4151851,4391690,525552
TEXAS,51146,27760,22128,1248,40430119,21663766,17940874,822296
UTAH,2905,1728,1025,149,1775647,1086930,621714,66803
VERMONT,2707,1102,1240,365,832802,337149,371816,123837
VIRGINIA,13530,4939,7454,1134,8891028,3274945,5099981,508785
WASHINGTON,7662,3846,3418,387,6746520,2290474,3875218,571793
WEST VIRGINIA,7044,3287,2743,1013,3369435,1305442,1734876,329068
WISCONSIN,13917,7456,5343,1107,6238795,3023560,2875183,338383
WYOMING,3054,760,1876,382,1225167,211658,848839,162484
PUERTO RICO,2181,497,1462,222,1963578,578717,1218052,166809
TOTALS,603310,286540,255430,60817,347908822,156820005,160355021,30402251
