State,Count_All,Count_Good,Count_Fair,Count_Poor,Area_All,Area_Good,Area_Fair,Area_Poor
 ALABAMA ,16095,7143,8200,752,9157354,3715478,5185986,255889
 ALASKA ,1493,664,681,146,701780,291433,343099,67100
 ARIZONA ,8056,4857,2988,211,5048302,2514426,2354646,179230
 ARKANSAS ,12853,7013,5230,610,6292176,3111876,2749519,430780
 CALIFORNIA ,25318,13327,10134,1857,29280043,13418116,13277457,2584470
 COLORADO ,8624,3913,4240,469,4846508,2531025,2077659,237654
 CONNECTICUT ,4225,1310,2562,353,3273496,628996,2159299,485201
 DELAWARE ,875,269,559,47,977807,166838,757768,53202
 DIST. OF COL. ,254,69,175,10,577714,90161,459454,28099
 FLORIDA ,12198,8522,3445,230,16476730,11140691,4962158,372716
 GEORGIA ,14790,7200,7026,564,9271797,4818815,4218375,234606
 HAWAII ,1142,486,591,59,1391813,403646,904894,19697
 IDAHO ,4369,1199,2827,343,1703500,415003,1174420,114076
 ILLINOIS ,26674,14440,10087,2147,12964107,5292312,6371232,1300563
 INDIANA ,19145,7812,9698,1633,7907773,3437463,3947774,521565
 IOWA ,24242,9313,10203,4719,8261257,3701152,3698082,861477
 KANSAS ,25047,14006,9480,1561,8163860,5468518,2433156,262186
 KENTUCKY ,14261,5580,7606,1074,6006749,2405438,3312943,287833
 LOUISIANA ,13012,6720,4628,1658,16491008,7995282,6977665,1516326
 MAINE ,2431,761,1319,348,1201978,456717,640722,103420
 MARYLAND ,5313,1815,3205,293,5145524,1497542,3478661,169322
 MASSACHUSETTS ,5167,1478,3239,450,4074515,948294,2536978,589243
 MICHIGAN ,11086,4689,5125,1264,6299975,2349419,3369901,577370
 MINNESOTA ,13301,8418,4091,785,6439750,3669936,2457240,287075
 MISSISSIPPI ,17057,11174,4339,1541,9005756,5971264,2614291,419937
 MISSOURI ,24398,11161,11170,2067,10344443,4648105,4817989,878350
 MONTANA ,5243,1989,2951,303,1993348,617790,1231562,143996
 NEBRASKA ,15341,7843,5909,1580,3966620,2324267,1401229,240145
 NEVADA ,1919,1021,868,30,1587135,842957,715449,28730
 NEW HAMPSHIRE ,2470,1323,896,251,1111928,637923,377455,96550
 NEW JERSEY ,6686,1959,4178,549,6828807,1723032,4588837,516938
 NEW MEXICO ,3960,1482,2219,259,1712846,652883,964369,95594
 NEW YORK ,17461,6321,9176,1964,12793389,3314582,7940857,1537950
 NORTH CAROLINA ,18124,7883,8159,2073,9182506,4263238,3998186,912516
 NORTH DAKOTA ,4401,2286,1587,528,1231504,691800,466280,73423
 OHIO ,27104,15048,10184,1869,13259754,7024661,5600019,634724
 OKLAHOMA ,23049,10858,9083,3105,8329640,4104101,3497128,725077
 OREGON ,8037,3131,4516,387,4941720,1194127,3568276,178944
 PENNSYLVANIA ,22783,6376,11705,4701,12377161,3428365,7488071,1460197
 RHODE ISLAND ,766,134,456,176,783257,130955,489159,163144
 SOUTH CAROLINA ,9344,4250,4238,856,6756879,3204437,3097811,454631
 SOUTH DAKOTA ,5866,1901,2899,1066,1666296,414646,1073485,178164
 TENNESSEE ,20106,9925,9230,949,9603418,4263349,4847285,492564
 TEXAS ,53209,28172,24309,728,46419429,24589349,21237525,592555
 UTAH ,3019,1751,1181,87,1918571,1081803,811343,25426
 VERMONT ,2749,1442,1197,110,850422,427452,385916,37054
 VIRGINIA ,13884,4819,8067,998,9482233,3359452,5661329,461453
 WASHINGTON ,8158,4318,3486,354,6892943,2786201,3557639,549103
 WEST VIRGINIA ,7215,3090,3066,1059,3708364,1298773,2070526,339065
 WISCONSIN ,14134,7330,5672,1132,6583404,3283087,3014933,285384
 WYOMING ,3085,723,2018,344,1260921,153323,938004,169594
 PUERTO RICO ,2306,444,1592,268,2560879,882117,1454703,223832
 TOTALS ,611845,289158,271690,50917,369109088,167782612,177758745,23454139
