State,Count_All,Count_Good,Count_Fair,Count_Poor,Area_All,Area_Good,Area_Fair,Area_Poor
ALABAMA,16061,7435,7738,887,8951183,3766050,4914047,270877
ALASKA,1156,509,513,132,658466,267632,322479,68168
ARIZONA,7739,5151,2352,236,4880618,2514129,2175993,190496
ARKANSAS,12641,7061,4962,617,6104343,3297850,2403481,396885
CALIFORNIA,24609,10446,11240,2921,27856257,9033103,13889902,4877973
COLORADO,8551,4319,3713,519,4728436,2619311,1801289,307836
CONNECTICUT,4200,1437,2376,387,3278853,741293,2020785,516775
DELAWARE,857,314,493,50,886595,244747,582541,59308
DIST. OF COL.,245,39,173,33,548534,34640,381128,132767
FLORIDA,11986,8584,3137,263,15947295,11264520,4189791,491662
GEORGIA,14694,7377,6616,701,8983388,5057301,3643772,282314
HAWAII,1132,354,705,73,1309322,348396,939298,21627
IDAHO,4164,1161,2662,341,1617191,343370,1151144,122678
ILLINOIS,26436,15293,8899,2236,12700113,5752488,5692560,1252546
INDIANA,18640,7908,8802,1929,7602822,3247531,3579241,775946
IOWA,24537,9566,9982,4962,7918241,3565702,3398752,950474
KANSAS,25233,14161,9211,1858,8017130,5457084,2248553,310858
KENTUCKY,13948,5821,6979,1146,5814431,2534743,2910068,369043
LOUISIANA,13153,7158,4529,1447,15459876,8401407,5822006,1230176
MAINE,2402,784,1275,342,1203588,481002,564389,157595
MARYLAND,5214,1797,3072,344,4850337,1323808,3287094,238634
MASSACHUSETTS,5099,1525,3066,504,3995325,960727,2397954,635461
MICHIGAN,10957,4598,5020,1336,6200619,2262028,3340367,597998
MINNESOTA,13117,8147,3932,1037,6135900,3570715,2276946,285487
MISSISSIPPI,17032,11237,4038,1757,8671427,6062822,2112726,495879
MISSOURI,24286,11967,10202,2116,10166842,4908473,4312490,945791
MONTANA,5097,2019,2821,257,1951887,701821,1137943,112123
NEBRASKA,15395,8186,5325,1864,3881523,2393304,1222485,264104
NEVADA,1783,1130,619,34,1411994,866989,530502,14503
NEW HAMPSHIRE,2423,1262,905,256,1061054,563459,384004,113590
NEW JERSEY,6514,2048,3843,622,6588208,1776824,4151724,659148
NEW MEXICO,3932,1415,2209,308,1661742,643674,884094,133974
NEW YORK,17384,6535,8731,2117,12670592,3576105,7321928,1772020
NORTH CAROLINA,18214,7427,8836,1939,8767108,3840272,3993842,928957
NORTH DAKOTA,4410,2348,1542,520,1210675,738524,407012,65140
OHIO,27403,13086,11651,2597,13288223,5289949,6852278,1037372
OKLAHOMA,23730,9790,9584,4351,8293455,3778929,3377194,1136478
OREGON,7353,2967,3960,426,4812021,1361808,3177457,272756
PENNSYLVANIA,22320,5491,11138,5674,12400088,3010263,7214689,2161810
RHODE ISLAND,751,133,462,156,771017,126713,461518,182787
SOUTH CAROLINA,9270,4387,3873,1010,6624856,3192662,2902112,530082
SOUTH DAKOTA,5877,1877,2897,1103,1662166,413863,1068189,180114
TENNESSEE,19937,9789,8983,1162,9211083,4085086,4619405,506316
TEXAS,51878,27926,22825,1117,42687445,23210275,18721207,730270
UTAH,2946,1719,1115,112,1838207,1062092,738684,37431
VERMONT,2717,1298,1232,186,842490,388488,390122,63881
VIRGINIA,13524,4811,7551,1161,9081335,3283233,5235552,548894
WASHINGTON,7743,3966,3412,362,6789382,2411987,3756585,620499
WEST VIRGINIA,7099,3376,2775,947,3423490,1323650,1782514,317275
WISCONSIN,14024,7555,5399,1059,6338056,3134317,2866316,333810
WYOMING,3068,752,1916,399,1238371,194665,865124,178525
PUERTO RICO,2222,467,1508,247,2082626,538909,1329613,214104
TOTALS,605103,285909,260799,58160,355076225,159968735,165750887,29101217
