ID,Year,State,Count_All,Count_Good,Count_Fair,Count_Poor,Area_All,Area_Good,Area_Fair,Area_Poor
35,2010,North Dakota,4418,2349,1548,521,1192081,717770,406147,68163
36,2010,Ohio,28033,13201,12075,2687,13202920,5311511,6767455,1064129
37,2010,Oklahoma,23692,9455,10042,4189,8216524,3656273,3394659,1164705
38,2010,Oregon,7255,3042,3779,433,4769987,1516817,2931709,321120
39,2010,Pennsylvania,22362,5272,11071,5957,12369020,2935706,7018406,2378586
40,2010,Rhode Island,757,127,466,163,786550,121091,464385,198841
41,2010,South Carolina,9252,4427,3763,1062,6564306,3348569,2663389,552348
42,2010,South Dakota,5891,1872,2959,1060,1659360,420350,1059562,179448
43,2010,Tennessee,19892,9740,9014,1136,9174014,4117516,4502871,553410
44,2010,Texas,51454,27789,22479,1179,41188845,22203255,18200018,784724
45,2010,Utah,2911,1745,1049,117,1806777,1123576,637098,46103
46,2010,Vermont,2712,1208,1250,254,836168,367389,374974,93806
47,2010,Virginia,13522,4822,7533,1165,9043518,3267079,5178426,515229
48,2010,Washington,7755,3929,3448,374,6783644,2395084,3781596,606550
49,2010,West Virginia,7069,3337,2755,976,3388158,1317148,1747045,323915
50,2010,Wisconsin,13982,7587,5336,1037,6334416,3137170,2854802,327230
51,2010,Wyoming,3060,778,1892,377,1230868,210158,851980,168140
52,2010,Puerto Rico,2201,494,1488,219,1981711,551986,1272993,156732
53,2010,Totals,604493,286534,258277,59305,351470253,158764140,161805951,30444638
1,2011,Alabama,16061,7435,7738,887,8951183,3766050,4914047,270877
2,2011,Alaska,1156,509,513,132,658466,267632,322479,68168
3,2011,Arizona,7739,5151,2352,236,4880618,2514129,2175993,190496
4,2011,Arkansas,12641,7061,4962,617,6104343,3297850,2403481,396885
5,2011,California,24609,10446,11240,2921,27856257,9033103,13889902,4877973
6,2011,Colorado,8551,4319,3713,519,4728436,2619311,1801289,307836
7,2011,Connecticut,4200,1437,2376,387,3278853,741293,2020785,516775
8,2011,Delaware,857,314,493,50,886595,244747,582541,59308
9,2011,Dist. Of Col.,245,39,173,33,548534,34640,381128,132767
10,2011,Florida,11986,8584,3137,263,15947295,11264520,4189791,491662
11,2011,Georgia,14694,7377,6616,701,8983388,5057301,3643772,282314
12,2011,Hawaii,1132,354,705,73,1309322,348396,939298,21627
13,2011,Idaho,4164,1161,2662,341,1617191,343370,1151144,122678
14,2011,Illinois,26436,15293,8899,2236,12700113,5752488,5692560,1252546
15,2011,Indiana,18640,7908,8802,1929,7602822,3247531,3579241,775946
16,2011,Iowa,24537,9566,9982,4962,7918241,3565702,3398752,950474
17,2011,Kansas,25233,14161,9211,1858,8017130,5457084,2248553,310858
18,2011,Kentucky,13948,5821,6979,1146,5814431,2534743,2910068,369043
19,2011,Louisiana,13153,7158,4529,1447,15459876,8401407,5822006,1230176
20,2011,Maine,2402,784,1275,342,1203588,481002,564389,157595
21,2011,Maryland,5214,1797,3072,344,4850337,1323808,3287094,238634
22,2011,Massachusetts,5099,1525,3066,504,3995325,960727,2397954,635461
23,2011,Michigan,10957,4598,5020,1336,6200619,2262028,3340367,597998
24,2011,Minnesota,13117,8147,3932,1037,6135900,3570715,2276946,285487
25,2011,Mississippi,17032,11237,4038,1757,8671427,6062822,2112726,495879
26,2011,Missouri,24286,11967,10202,2116,10166842,4908473,4312490,945791
27,2011,Montana,5097,2019,2821,257,1951887,701821,1137943,112123
28,2011,Nebraska,15395,8186,5325,1864,3881523,2393304,1222485,264104
29,2011,Nevada,1783,1130,619,34,1411994,866989,530502,14503
30,2011,New Hampshire,2423,1262,905,256,1061054,563459,384004,113590
